,agent,model,test_nlp_mf,test_nlp_mb,test_nlp_habit,test_nlp_wsls,test_nlp_kdh,test_nlp_logistic_regression,test_nlp_rnn_100,test_nlp_rnn_200,test_nlp_rnn_400,test_nlp_rnn_600,test_nlp_rnn_1000,best_test_nlp_rnn,best_epoch
0,0,mf,0.24969293812569227,0.45463380804657927,0.4065591427460313,0.30047123076766724,0.6973592361807823,0.2989247699761763,0.5753422021865845,0.4673280298709869,0.38128272294998167,0.35198355913162227,0.2817707479000091,0.2817707479000091,1000
1,1,mf,0.6730122290551662,0.6800716527700424,0.6922671058773995,0.6865065795183182,0.6934060895442963,0.6858140659928322,0.6957215666770935,0.6851414322853089,0.6876917243003845,0.7923580884933472,0.8413405060768128,0.6851414322853089,200
2,2,mf,0.5521641043908894,0.5628704994767905,0.5525382117033004,0.6393804075419902,0.7114524702131748,0.635188351392746,0.6718581259250641,0.6184969902038574,0.5536123991012574,0.5801291048526764,0.5949862122535705,0.5536123991012574,400
3,3,mf,0.4007243084218353,0.5452495631724597,0.47212719761580224,0.5205045820474624,0.68159775441885,0.5174999432861804,0.5981536149978638,0.483219587802887,0.4477333724498749,0.44219844937324526,0.44891547560691825,0.44219844937324526,600
4,4,mf,0.6859465811252594,0.6923429757356644,0.6931092217564583,0.6862301888465882,0.6957942234277725,0.6834586176276207,0.6948193550109864,0.69340580701828,0.686072850227356,0.7279452800750732,0.8784775853157043,0.686072850227356,400
5,5,mf,0.2512685682152296,0.5130649404749275,0.470194631114602,0.29306222510966473,0.6946315896511078,0.2953796083405614,0.5585212230682373,0.4775646090507507,0.39928573369979853,0.3643230199813843,0.3164211750030517,0.3164211750030517,1000
6,6,mf,0.2961562515137484,0.5412861129790544,0.4640672280341386,0.33057860194565725,0.6970081919431687,0.32853501923382283,0.6245213627815247,0.476304429769516,0.4303447723388672,0.3685771465301514,0.3238826751708984,0.3238826751708984,1000
7,7,mf,0.4687097715083509,0.525550032094121,0.5227595666199922,0.5980795368552208,0.699506452858448,0.5975203265547753,0.6001827478408813,0.5207448542118073,0.5032053232192993,0.5011594951152801,0.5020555436611176,0.5011594951152801,600
8,8,mf,0.4154254185748286,0.5168311693891883,0.4869531714990735,0.5576046245247126,0.7150922899842262,0.5530414262264968,0.6050995111465454,0.49663556218147276,0.4662951946258545,0.46146243810653687,0.6589685320854187,0.46146243810653687,600
9,9,mf,0.2114580595318693,0.4535484984777868,0.31147849788516757,0.2954918175544589,0.6880525363087655,0.2957848979197442,0.5312713563442231,0.3842059314250946,0.3098658174276351,0.28193264305591575,0.24600686132907862,0.24600686132907862,1000
10,10,mf,0.20937811347993557,0.4635875857137144,0.3550198526978493,0.30223384441435336,0.7048776949644089,0.2982709742374718,0.5441356420516967,0.37845528721809385,0.3408022284507751,0.30315611362457273,0.250616529583931,0.250616529583931,1000
11,11,mf,0.48541928384453054,0.6082379522472621,0.6066111384630204,0.5426996065378189,0.6911694440245628,0.5405398331284523,0.6179065465927124,0.6065068364143371,0.5629978835582733,0.5159822344779968,0.5173139810562134,0.5159822344779968,600
12,12,mf,0.5602036786470561,0.5580657515972852,0.554592333421111,0.6475408942103386,0.7417854270935058,0.6390752011835575,0.6454137682914733,0.5763039827346802,0.5495460331439972,0.5399890184402466,0.7465487539768219,0.5399890184402466,600
13,13,mf,0.29785149260796606,0.40548542963154616,0.4045353382602334,0.4049962314292788,0.6968075253367424,0.3963104302473366,0.5396109580993652,0.41554166078567506,0.3872470736503601,0.35739832520484927,0.3697427034378052,0.35739832520484927,600
14,14,mf,0.27483282270317433,0.4581172470860183,0.3516678862571716,0.3688348100036382,0.7020648671984673,0.36709400507807727,0.5817611932754516,0.4018113613128662,0.3460269391536712,0.3221822321414947,0.3007487565279007,0.3007487565279007,1000
15,15,mf,0.35798324233666057,0.5870689636021853,0.5644007485955954,0.3879205386489629,0.6946388699412346,0.38606992854923006,0.6372890710830689,0.5315131306648254,0.4772958219051361,0.4456146240234375,0.38218512535095217,0.38218512535095217,1000
16,16,mf,0.20871498504522604,0.45055033842660486,0.32245566785335533,0.3139243744909763,0.6954853104948998,0.3115295210126787,0.5102152764797211,0.37851894497871397,0.30895467698574064,0.28626094460487367,0.25241754651069637,0.25241754651069637,1000
17,17,mf,0.3356511256350204,0.5232216848358512,0.5330693171918393,0.39779653936997056,0.6955597383975982,0.3949585217349231,0.6193960905075073,0.5023365080356598,0.4525801956653595,0.4190062165260315,0.38291033506393435,0.38291033506393435,1000
18,18,mf,0.23512201377885864,0.4867620686292648,0.4254269612655043,0.2684945317257661,0.6970661597847939,0.27155910976789893,0.55929514169693,0.4481146514415741,0.3909170866012573,0.35518709421157835,0.26728657782077786,0.26728657782077786,1000
19,19,mf,0.27652426769421434,0.5112911970466375,0.46303871597349644,0.33765911737829446,0.6985253086090089,0.3339651966094971,0.5842169642448425,0.499712073802948,0.42925876975059507,0.37295876145362855,0.31696677803993223,0.31696677803993223,1000
20,20,mf,0.4523260030895472,0.5834885485768317,0.5964371393173933,0.5107157339900732,0.6956807141900063,0.5052670953795314,0.6423085451126098,0.5833997964859009,0.5448413848876953,0.49570316076278687,0.4720756053924561,0.4720756053924561,1000
21,21,mf,0.21262778349245487,0.39168648820556695,0.30423711228370665,0.27179051501210777,0.7034716383814812,0.26648491858504714,0.5708989381790162,0.3822317898273468,0.29497035443782804,0.28172862529754633,0.2511350870132446,0.2511350870132446,1000
22,22,mf,0.4728747922852635,0.5158121306449175,0.5832416799664497,0.5718480334281921,0.6951156166195869,0.5635400523543358,0.5952180981636047,0.5357147037982941,0.5030190825462342,0.49699918627738954,0.5293740272521973,0.49699918627738954,600
23,23,mf,0.23582508040859826,0.3976148227509111,0.3323402286618948,0.3487759459614753,0.7003728703856468,0.34743477910012005,0.574293315410614,0.36267576217651365,0.33219873309135434,0.29953470528125764,0.2672487199306488,0.2672487199306488,1000
24,24,mf,0.1851062994873573,0.41227316356636584,0.29859998371079566,0.2790914173554629,0.7074784877300262,0.2680462438818067,0.5083939909934998,0.3935447335243225,0.29502448737621306,0.26505028307437895,0.21681058704853057,0.21681058704853057,1000
25,25,mf,0.19304578153935287,0.5257518412321807,0.2915176685117185,0.2936819161642342,0.7014191839694977,0.28571558376215395,0.5412784397602082,0.3411297619342804,0.28359658420085904,0.2722911983728408,0.24309482574462887,0.24309482574462887,1000
26,26,mf,0.6157203885093331,0.6392389623820781,0.6723764297664165,0.6792992962300778,0.6973723430037498,0.6730623559653759,0.6657039999961853,0.6411671280860901,0.6367576003074646,0.6568060159683228,0.7410612344741822,0.6367576003074646,400
27,27,mf,0.6462003825455904,0.6630581254661083,0.6751733253002167,0.6772536592185497,0.6926439501047135,0.6738720833361149,0.6791453719139099,0.6735339879989624,0.6671130895614624,0.708633542060852,0.7240975856781006,0.6671130895614624,400
28,28,mf,0.693176112651825,0.6931471824645996,0.6922380217909814,0.6906724426150321,0.6973354372382163,0.6874899633526802,0.6915691494941711,0.6914995074272156,0.6964370250701905,0.7713006734848022,0.814961838722229,0.6914995074272156,200
29,29,mf,0.3805623011961579,0.5857272547632456,0.5376284863799811,0.4387914476059377,0.6956459648013115,0.4363282967284322,0.6196594715118409,0.5648646593093872,0.48639934659004214,0.44268217086791994,0.4064797401428223,0.4064797401428223,1000
30,30,mf,0.6941778293550015,0.6905745611190797,0.6931471824645996,0.6917533563375473,0.6954413120746612,0.6881511510610581,0.6925343155860901,0.6880443692207336,0.696816372871399,0.7362819790840149,0.7695183873176574,0.6880443692207336,200
31,31,mf,0.2728358075867872,0.6012059309631586,0.4327577344551682,0.3119008395355195,0.7001918389797211,0.3105151503719389,0.6109897255897522,0.4864549160003662,0.3974197745323181,0.37770288586616513,0.31857881546020506,0.31857881546020506,1000
32,32,mf,0.4001218805401586,0.4528588567897677,0.448763348005712,0.5137812647372484,0.6871894209980964,0.5045057986080647,0.5479929685592652,0.48245722651481626,0.4370208323001862,0.4215859889984131,0.41410309076309193,0.41410309076309193,1000
33,33,mf,0.6880031187534332,0.6895785975754262,0.6930739967226982,0.6918663316369057,0.697035913825035,0.6904149340987205,0.6962587714195252,0.6976656675338745,0.6953151822090149,0.7447713136672973,0.7250715017318725,0.6953151822090149,400
34,34,mf,0.35746720610931515,0.5176953431740403,0.4853184588253498,0.4613996373489499,0.6952429503798485,0.4519647041782736,0.5781291127204895,0.48922367095947267,0.45548291206359864,0.42033751010894777,0.3920754611492157,0.3920754611492157,1000
35,35,mf,0.2886849905666895,0.44061838907003403,0.4144443997889756,0.3877951333709061,0.6921148275136948,0.38296363689005375,0.5204756379127502,0.4192212402820587,0.39194123148918153,0.35587800741195674,0.31992995738983154,0.31992995738983154,1000
36,36,mf,0.20612340512045185,0.4103113173749298,0.323108983952552,0.30981929427385324,0.6964448759555817,0.30930647533759476,0.4632188260555267,0.35247793793678284,0.3084758758544922,0.2794034659862518,0.23883501589298245,0.23883501589298245,1000
37,37,mf,0.5565508560165763,0.6279478119909763,0.6440273279249669,0.5767929981946945,0.6938845335245133,0.5756548698544502,0.6606503009796143,0.6324166297912598,0.5945527791976929,0.5874746203422546,0.6528184056282044,0.5874746203422546,600
38,38,mf,0.6588589841872453,0.6528148175477981,0.681160215228796,0.6843904119133949,0.696035377562046,0.6675420991182327,0.6764529466629028,0.6609671115875244,0.6587014436721802,0.6622631907463074,0.7068603038787842,0.6587014436721802,400
39,39,mf,0.5289409828409553,0.6241875985711813,0.623038017898798,0.5901211448460817,0.6893956085443497,0.5870158621668816,0.6540160417556763,0.6122788429260254,0.5890813827514648,0.575382399559021,0.6081935882568359,0.575382399559021,600
40,40,mf,0.4323405708093196,0.5710563945174216,0.5663145727664232,0.47686640929430724,0.6957455442547797,0.4720219255909323,0.6420325875282288,0.5770360708236695,0.5278498113155365,0.4893648028373718,0.46070205569267275,0.46070205569267275,1000
41,41,mf,0.396100017176941,0.5507161077558994,0.584372219890356,0.45897523495554926,0.6962542303204536,0.45309628895670173,0.6192128181457519,0.5302371203899383,0.4881602764129639,0.45144951343536377,0.4267807900905609,0.4267807900905609,1000
42,42,mf,0.5495436612218618,0.6670045565366745,0.6751022662520408,0.5927091300338507,0.6914688688516617,0.5899132715463639,0.6668148279190064,0.649604070186615,0.6020393133163452,0.6036990404129028,0.6385760545730591,0.6020393133163452,400
43,43,mf,0.26207208684575745,0.4870335550475865,0.39746909365803,0.35398662899062033,0.6973382775783539,0.35194880943745377,0.5402550101280212,0.42391728758811953,0.385113912820816,0.3583156287670135,0.31269323825836176,0.31269323825836176,1000
44,44,mf,0.47400561223551635,0.628626595556736,0.617715222015977,0.5206505692750215,0.7006751025319099,0.5195440404042602,0.6344299435615539,0.5889739871025086,0.5515440702438354,0.5203634798526764,0.5219866514205933,0.5203634798526764,600
45,45,mf,0.4752559628039599,0.6089660677462816,0.6337664686441421,0.5079947904869914,0.6938846603631973,0.5067796453535557,0.6473629117012024,0.6019020795822143,0.5526638627052307,0.5223125457763672,0.538218206167221,0.5223125457763672,600
46,46,mf,0.2815099374854471,0.5018638012707233,0.46707431279122824,0.3248715527867898,0.6968528199195861,0.31974022608622904,0.5952853083610534,0.4744426548480988,0.43181244730949403,0.36805414557456967,0.3239052534103394,0.3239052534103394,1000
47,47,mf,0.3782280985247343,0.6138611064329743,0.5570049770027399,0.44233979374915355,0.700498667895794,0.434271576449275,0.6157256841659546,0.5194150745868683,0.4813982605934143,0.4511096000671387,0.4057117462158203,0.4057117462158203,1000
48,48,mf,0.48987260230444374,0.5485888779908419,0.558594209253788,0.6217799628973008,0.6914505735635756,0.6180637887120246,0.6268718242645264,0.5631328642368316,0.5413960456848145,0.5358395457267762,0.5818019211292267,0.5358395457267762,600
49,49,mf,0.21904241746001568,0.4356931591853499,0.3712377417311072,0.2611882689879276,0.6944029292464255,0.263365910358727,0.5863808393478394,0.42393232583999635,0.35038524270057675,0.3104619324207306,0.2637047201395034,0.2637047201395034,1000
50,50,mf,0.6888315614759921,0.6948130586743355,0.6926617346405983,0.691059736251831,0.69774437302351,0.6899022687077523,0.6979086637496948,0.6942781567573547,0.7021636247634888,0.7022427320480347,0.8783129096031189,0.6942781567573547,200
51,51,mf,0.20415180008986494,0.5010423824228346,0.32640256862342354,0.29426839220523837,0.7005015040636062,0.2935157687850296,0.5216754615306854,0.3654215157032013,0.30908372998237604,0.28943142592906945,0.25229018628597255,0.25229018628597255,1000
52,52,mf,0.34953898989554727,0.4335706631615758,0.3825574087314308,0.509940274477005,0.8149703826904297,0.5079904789477586,0.5780969381332397,0.4872502744197845,0.39289864599704744,0.3726043373346329,0.3800204247236251,0.3726043373346329,600
53,53,mf,0.29545493204923695,0.5648301159441471,0.4836552356779575,0.3278844048334285,0.6955521045327187,0.3242794790733605,0.570350182056427,0.4980637550354004,0.44015675187110903,0.39238893389701845,0.33066701889038086,0.33066701889038086,1000
54,54,mf,0.16332978867772904,0.42699194430001075,0.23244549939781423,0.2183593329265713,0.6941319718956948,0.21531353384349491,0.4374005436897278,0.29807689785957336,0.23542230725288388,0.21364650130271906,0.19021534919738767,0.19021534919738767,1000
