,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,0,0.5,1,-0.049837597
1,1,0,1,0,1,0.47679377,1,0.002483786
2,2,1,1,1,0,0.50115734,1,-0.0474776
3,3,0,0,1,0,0.47789118,1,0.0047261696
4,4,0,0,1,0,0.5022023,1,0.054328226
5,5,1,0,0,0,0.5252938,1,0.0017830404
6,6,0,1,0,1,0.5008308,1,0.051531777
7,7,0,0,1,1,0.5239939,1,0.09880115
8,8,1,1,1,1,0.5459089,1,0.044039544
9,9,1,1,1,1,0.52050966,1,-0.0079928795
10,10,1,1,1,1,0.4962756,1,-0.05743213
11,11,0,0,1,0,0.47326377,1,-0.004732254
12,12,1,1,1,0,0.49779493,1,-0.054334007
13,13,1,1,1,1,0.4747035,1,-0.10146373
14,14,0,0,1,0,0.45286113,1,-0.046569422
15,15,0,0,1,0,0.47831357,1,0.0055890833
16,16,0,0,1,0,0.5026043,1,0.055148136
17,17,0,0,1,0,0.5256749,1,0.102237284
18,18,1,1,1,1,0.5474961,1,0.047304425
19,19,1,1,1,1,0.52202827,1,-0.004890713
20,20,1,1,1,1,0.49772108,1,-0.05448457
21,21,1,1,1,1,0.4746335,1,-0.101606786
22,22,1,1,1,1,0.4527951,1,-0.14638054
23,23,0,0,1,0,0.43221074,1,-0.089247696
24,24,0,1,0,1,0.4585087,1,-0.034962207
25,25,1,1,1,0,0.48371434,1,-0.083057374
26,26,0,0,1,0,0.4613747,1,-0.029080393
27,27,0,0,1,0,0.48645267,1,0.022206502
28,28,1,0,0,0,0.5103461,1,-0.028737815
29,29,0,1,0,1,0.48661217,1,0.022532007
30,30,0,0,1,1,0.51049775,1,0.07124666
31,31,0,1,0,1,0.53315026,1,0.1175335
32,32,0,0,1,0,0.55454934,1,0.1615135
33,33,1,1,1,1,0.5746975,1,0.10362647
34,34,1,1,1,0,0.5481375,1,0.048624374
35,35,0,1,0,1,0.5226421,1,0.09603865
36,36,0,0,1,0,0.5446322,1,0.14108992
37,37,1,1,1,1,0.5653677,1,0.08422073
38,38,0,0,1,0,0.5391641,1,0.12986097
39,39,1,0,0,0,0.56021786,1,0.07355142
40,40,0,0,1,1,0.5342193,1,0.11972339
41,41,1,0,0,0,0.5555574,1,0.06391906
42,42,0,0,1,1,0.52974933,1,0.11057109
43,43,0,0,1,0,0.5513415,1,0.15489809
44,44,1,1,1,0,0.57168096,1,0.09734074
45,45,1,0,0,0,0.545234,1,0.042651914
46,46,1,1,1,1,0.51986414,1,-0.009311352
47,47,1,1,1,1,0.4956613,1,-0.058684893
48,48,0,0,1,0,0.4726817,1,-0.0059225825
49,49,1,1,1,1,0.49724028,1,-0.055465013
50,50,1,1,1,0,0.47417784,0,-0.10253837
51,51,0,0,1,1,0.4523649,0,-0.047590505
52,52,0,0,1,0,0.4778387,0,0.00461889
53,53,1,1,1,1,0.50215226,0,-0.045448903
54,54,1,1,1,0,0.47883475,0,-0.09302144
55,55,0,0,1,1,0.45676288,0,-0.038547873
56,56,0,0,1,0,0.4820455,0,0.013210858
57,57,1,1,1,0,0.5061556,0,-0.037285138
58,58,1,1,1,0,0.48263314,0,-0.085264534
59,59,0,0,1,1,0.4603525,0,-0.031177556
60,60,1,1,1,1,0.48547623,0,-0.079461336
61,61,1,1,1,0,0.46304077,0,-0.12533878
62,62,1,1,1,0,0.4418598,0,-0.16892979
63,63,0,0,1,1,0.4219274,0,-0.11067314
64,64,1,0,0,1,0.4486115,0,-0.15499505
65,65,1,0,0,1,0.42827478,0,-0.19710808
66,66,0,0,1,1,0.40917245,0,-0.13744707
67,67,1,1,1,0,0.4363015,0,-0.18043464
68,68,1,1,1,0,0.4167061,0,-0.22127981
69,69,0,0,1,0,0.398327,0,-0.16041416
70,70,0,0,1,1,0.4258034,0,-0.1025819
71,71,0,0,1,0,0.45234478,0,-0.04763187
72,72,1,1,1,0,0.47781944,0,-0.09509561
73,73,1,1,1,1,0.45580375,0,-0.14019388
74,74,1,0,0,0,0.43504277,0,-0.18304454
75,75,0,0,1,0,0.41552418,0,-0.12408444
76,76,0,0,1,1,0.4424365,0,-0.068062775
77,77,1,0,0,1,0.4683271,0,-0.11450829
78,78,1,1,1,0,0.44684395,0,-0.15863907
79,79,0,0,1,0,0.42661253,0,-0.100895286
80,80,0,1,0,0,0.4531237,0,-0.046029307
81,81,1,0,0,1,0.47856477,0,-0.093572915
82,82,1,0,0,1,0.45650783,0,-0.13874707
83,83,0,1,0,0,0.43570566,0,-0.081994645
84,84,0,0,1,1,0.46186697,0,-0.02807063
85,85,0,0,1,0,0.48692286,0,0.023165941
86,86,1,0,0,1,0.51079303,0,-0.027826192
87,87,1,1,1,0,0.48703668,0,-0.076277
88,88,1,1,1,0,0.4645168,0,-0.122313134
89,89,1,1,1,1,0.44325107,0,-0.16605493
90,90,0,0,1,1,0.42323488,0,-0.10794156
91,91,1,1,1,0,0.4498712,0,-0.15239961
92,92,0,1,0,0,0.42945972,0,-0.094966784
93,93,0,0,1,1,0.4558633,0,-0.04039627
94,94,1,1,1,0,0.48118535,0,-0.08822061
95,95,1,1,1,1,0.45898402,0,-0.13366151
96,96,0,1,0,0,0.4380376,0,-0.07716254
97,97,1,1,1,0,0.46410626,0,-0.12315454
98,98,1,0,0,1,0.4428641,0,-0.16685441
99,99,0,0,1,1,0.42287114,0,-0.10870119
100,100,1,1,1,1,0.44952083,1,-0.15312138
101,101,1,0,0,1,0.4291301,1,-0.19532779
102,102,1,1,1,1,0.4099749,1,-0.23543072
103,103,0,1,0,1,0.392023,1,-0.17385982
104,104,0,0,1,0,0.41968775,1,-0.11535746
105,105,1,1,1,1,0.44645277,1,-0.15944593
106,106,0,1,0,0,0.4262447,1,-0.10166192
107,107,0,0,1,1,0.4527696,1,-0.046757735
108,108,1,1,1,0,0.47822598,1,-0.094265044
109,109,1,1,1,1,0.45618778,1,-0.1394047
110,110,1,1,1,1,0.43540433,1,-0.1822947
111,111,0,0,1,0,0.41586366,1,-0.12337197
112,112,1,0,0,0,0.4427641,1,-0.167061
113,113,1,1,1,1,0.42277718,1,-0.20857269
114,114,0,0,1,0,0.40401676,1,-0.14834033
115,115,1,1,1,1,0.43131456,1,-0.19078499
116,116,0,0,1,0,0.41202462,1,-0.13143913
117,117,1,1,1,1,0.43905753,1,-0.17472611
118,118,1,1,1,1,0.41929457,1,-0.21585579
119,119,0,1,0,1,0.4007524,1,-0.15526046
120,120,1,1,1,1,0.42815366,1,-0.19736025
121,121,1,1,1,1,0.40905884,1,-0.23736188
122,122,1,0,0,0,0.39116544,1,-0.27536994
123,123,0,1,0,1,0.37442988,1,-0.21180856
124,124,1,1,1,1,0.40256533,1,-0.25109014
125,125,1,1,1,1,0.38508877,1,-0.288414
126,126,0,1,0,1,0.3687527,1,-0.22420254
127,127,0,0,1,0,0.39702213,1,-0.16319123
128,128,0,0,1,0,0.42453834,1,-0.10522057
129,129,0,0,1,0,0.4511267,1,-0.050139032
130,130,0,0,1,0,0.4766536,1,0.0021973762
131,131,0,1,0,1,0.5010239,1,0.05192546
132,132,0,0,1,0,0.52417696,1,0.09917522
133,133,0,1,0,1,0.5460817,1,0.14407016
134,134,0,0,1,0,0.56673217,1,0.18672764
135,135,1,1,1,1,0.58614206,1,0.127584
136,136,1,1,1,0,0.559172,1,0.07138792
137,137,0,0,1,0,0.53321576,1,0.11766771
138,138,0,1,0,1,0.55461115,1,0.16164103
139,139,0,0,1,1,0.5747556,1,0.20342283
140,140,0,0,1,1,0.5936699,1,0.24312232
141,141,1,1,1,1,0.6113886,1,0.1811681
142,142,1,0,0,0,0.58362615,1,0.12230151
143,143,1,1,1,1,0.55674356,1,0.0663687
144,144,0,0,1,1,0.5308866,1,0.11289864
145,145,0,0,1,0,0.55241436,1,0.15710965
146,146,1,1,1,1,0.57269,1,0.09944208
147,147,0,0,1,0,0.54620504,1,0.14432372
148,148,0,0,1,0,0.5668482,1,0.18696856
149,149,1,1,1,1,0.586251,1,0.1278129
150,150,0,0,1,1,0.5592772,0,0.17128062
151,151,1,1,1,1,0.57914096,0,0.112906806
152,152,1,0,0,0,0.5524181,0,0.057442203
153,153,0,1,0,0,0.5267409,0,0.10441702
154,154,0,0,1,1,0.54850245,0,0.14905073
155,155,0,0,1,1,0.5690102,0,0.19146
156,156,1,1,1,1,0.58828014,0,0.1320805
157,157,1,1,1,0,0.56123686,0,0.07566032
158,158,0,0,1,1,0.53519726,0,0.12172718
159,159,1,1,1,0,0.5564794,0,0.065822996
160,160,0,1,0,0,0.5306333,0,0.11238013
161,161,0,0,1,1,0.5521754,0,0.15661697
162,162,0,1,0,1,0.5724653,0,0.19864917
163,163,0,0,1,0,0.5915218,0,0.23858656
164,164,0,0,1,1,0.6093781,0,0.27653357
165,165,1,1,1,0,0.626078,0,0.21291421
166,166,1,1,1,1,0.5979302,0,0.15246548
167,167,0,1,0,0,0.57057035,0,0.19470456
168,168,0,1,0,0,0.5897441,0,0.23483856
169,169,1,1,1,0,0.60771394,0,0.17329717
170,170,1,0,0,0,0.5800568,0,0.11482286
171,171,0,0,1,1,0.553301,0,0.15893796
172,172,0,1,0,1,0.57352376,0,0.20085447
173,173,0,0,1,1,0.5925146,0,0.24068196
174,174,1,1,1,0,0.61030734,0,0.17884935
175,175,0,0,1,0,0.58257556,0,0.21977353
176,176,0,1,0,1,0.60099995,0,0.25865814
177,177,1,1,1,0,0.61824596,0,0.19592965
178,178,0,0,1,1,0.59029645,0,0.23600258
179,179,0,0,1,1,0.608231,0,0.27407837
180,180,1,1,1,0,0.6250061,0,0.21058138
181,181,0,0,1,1,0.5968844,0,0.2499241
182,182,1,1,1,0,0.61439645,0,0.18763088
183,183,0,1,0,0,0.5865504,0,0.2281174
184,184,1,1,1,0,0.6047234,0,0.16691099
185,185,1,1,1,0,0.5771546,0,0.10875495
186,186,1,1,1,0,0.55050397,0,0.053497262
187,187,0,0,1,1,0.5249076,0,0.10066868
188,188,1,1,1,0,0.54677165,0,0.045814004
189,189,1,1,1,0,0.52133507,0,-0.0063068545
190,190,1,1,1,1,0.49706122,0,-0.055830132
191,191,0,0,1,1,0.47400817,0,-0.0032100962
192,192,1,1,1,1,0.4985042,0,-0.05288771
193,193,1,1,1,0,0.47537574,0,-0.10008951
194,194,1,1,1,1,0.4534959,0,-0.14493889
195,195,0,0,1,0,0.4328703,0,-0.087877885
196,196,0,0,1,1,0.45914266,0,-0.033660665
197,197,1,1,1,0,0.48432022,0,-0.0818207
198,198,0,0,1,1,0.46194756,0,-0.02790535
199,199,0,0,1,1,0.4869998,0,0.023322983
