,action_stage_1,transition_type,reward,prev_reward,transition_prev,stay
0,1.0,0.0,1.0,0.0,0.0,False
1,1.0,1.0,0.0,1.0,0.0,True
2,0.0,1.0,1.0,0.0,1.0,False
3,0.0,1.0,1.0,1.0,1.0,True
4,0.0,1.0,1.0,1.0,1.0,True
5,0.0,1.0,1.0,1.0,1.0,True
6,0.0,1.0,1.0,1.0,1.0,True
7,0.0,1.0,0.0,1.0,1.0,True
8,0.0,1.0,1.0,0.0,1.0,True
9,0.0,0.0,1.0,1.0,1.0,True
10,1.0,1.0,0.0,1.0,0.0,False
11,0.0,0.0,1.0,0.0,1.0,False
12,0.0,1.0,0.0,1.0,0.0,True
13,0.0,1.0,1.0,0.0,1.0,True
14,0.0,1.0,1.0,1.0,1.0,True
15,1.0,1.0,1.0,1.0,1.0,False
16,0.0,1.0,1.0,1.0,1.0,False
17,0.0,1.0,1.0,1.0,1.0,True
18,0.0,0.0,1.0,1.0,1.0,True
19,1.0,1.0,0.0,1.0,0.0,False
20,0.0,0.0,1.0,0.0,1.0,False
21,0.0,0.0,0.0,1.0,0.0,True
22,0.0,1.0,1.0,0.0,0.0,True
23,0.0,1.0,1.0,1.0,1.0,True
24,0.0,1.0,1.0,1.0,1.0,True
25,0.0,1.0,1.0,1.0,1.0,True
26,0.0,0.0,0.0,1.0,1.0,True
27,0.0,1.0,1.0,0.0,0.0,True
28,0.0,1.0,1.0,1.0,1.0,True
29,0.0,1.0,1.0,1.0,1.0,True
30,0.0,1.0,1.0,1.0,1.0,True
31,0.0,1.0,0.0,1.0,1.0,True
32,0.0,1.0,0.0,0.0,1.0,True
33,0.0,1.0,0.0,0.0,1.0,True
34,0.0,1.0,0.0,0.0,1.0,True
35,0.0,1.0,1.0,0.0,1.0,True
36,0.0,1.0,0.0,1.0,1.0,True
37,0.0,1.0,1.0,0.0,1.0,True
38,0.0,1.0,1.0,1.0,1.0,True
39,0.0,1.0,1.0,1.0,1.0,True
40,0.0,1.0,1.0,1.0,1.0,True
41,0.0,0.0,0.0,1.0,1.0,True
42,0.0,0.0,0.0,0.0,0.0,True
43,0.0,1.0,1.0,0.0,0.0,True
44,0.0,1.0,1.0,1.0,1.0,True
45,0.0,1.0,1.0,1.0,1.0,True
46,0.0,1.0,1.0,1.0,1.0,True
47,0.0,1.0,1.0,1.0,1.0,True
48,0.0,0.0,0.0,1.0,1.0,True
49,0.0,1.0,1.0,0.0,0.0,True
50,0.0,1.0,1.0,1.0,1.0,True
51,0.0,1.0,1.0,1.0,1.0,True
52,0.0,1.0,0.0,1.0,1.0,True
53,1.0,1.0,1.0,0.0,1.0,False
54,0.0,1.0,1.0,1.0,1.0,False
55,0.0,1.0,1.0,1.0,1.0,True
56,0.0,1.0,1.0,1.0,1.0,True
57,1.0,1.0,0.0,1.0,1.0,False
58,0.0,1.0,0.0,0.0,1.0,False
59,0.0,0.0,0.0,0.0,1.0,True
60,0.0,1.0,1.0,0.0,0.0,True
61,1.0,1.0,0.0,1.0,1.0,False
62,0.0,1.0,0.0,0.0,1.0,False
63,0.0,1.0,0.0,0.0,1.0,True
64,0.0,1.0,0.0,0.0,1.0,True
65,0.0,1.0,0.0,0.0,1.0,True
66,0.0,0.0,0.0,0.0,1.0,True
67,0.0,1.0,1.0,0.0,0.0,True
68,0.0,1.0,0.0,1.0,1.0,True
69,0.0,1.0,1.0,0.0,1.0,True
70,0.0,1.0,0.0,1.0,1.0,True
71,0.0,1.0,0.0,0.0,1.0,True
72,0.0,1.0,1.0,0.0,1.0,True
73,0.0,0.0,1.0,1.0,1.0,True
74,0.0,0.0,1.0,1.0,0.0,True
75,1.0,0.0,1.0,1.0,0.0,False
76,1.0,1.0,0.0,1.0,0.0,True
77,0.0,0.0,0.0,0.0,1.0,False
78,0.0,0.0,0.0,0.0,0.0,True
79,0.0,0.0,0.0,0.0,0.0,True
80,1.0,1.0,0.0,0.0,0.0,False
81,1.0,1.0,0.0,0.0,1.0,True
82,0.0,1.0,1.0,0.0,1.0,False
83,1.0,1.0,0.0,1.0,1.0,False
84,1.0,0.0,1.0,0.0,1.0,True
85,1.0,1.0,1.0,1.0,0.0,True
86,1.0,1.0,0.0,1.0,1.0,True
87,1.0,1.0,0.0,0.0,1.0,True
88,1.0,1.0,0.0,0.0,1.0,True
89,1.0,1.0,0.0,0.0,1.0,True
90,1.0,1.0,1.0,0.0,1.0,True
