,action_stage_1,state_of_stage_2,transition_type,reward,probs,correct,delta_q
0,0.0,0.0,1,1.0,0.5,0.0,0.0
1,1.0,1.0,1,1.0,0.6326599372459684,0.0,0.568456072869721
2,1.0,1.0,1,0.0,0.5,0.0,0.0
3,1.0,1.0,1,0.0,0.5846483829373753,0.0,0.3574882413938696
4,1.0,1.0,1,0.0,0.6155915319101944,0.0,0.4923680123348941
5,1.0,1.0,1,1.0,0.6266666757330034,0.0,0.5415811784728816
6,0.0,0.0,1,1.0,0.49776634273282944,0.0,-0.009342452572474569
7,1.0,1.0,1,0.0,0.5480574790752617,0.0,0.20162537890337695
8,0.0,0.0,1,1.0,0.6319468216668637,0.0,0.5652488704433816
9,0.0,1.0,0,0.0,0.6487034425087804,0.0,0.6413369309782087
10,0.0,1.0,0,1.0,0.5448799494215267,1.0,0.18821935253583552
11,0.0,0.0,1,0.0,0.5932553550446479,1.0,0.3946650342999648
12,1.0,0.0,0,1.0,0.49291383297053126,1.0,-0.029640255387246184
13,1.0,1.0,1,1.0,0.4273095914650381,1.0,-0.30620104400608184
14,0.0,1.0,0,1.0,0.3902064267004129,1.0,-0.4668195732401776
15,0.0,0.0,1,0.0,0.47203644901980973,1.0,-0.11708121299487362
16,0.0,0.0,1,0.0,0.3696852815117594,1.0,-0.5579182986831426
17,1.0,1.0,1,1.0,0.33396387776320446,1.0,-0.7218156992752538
18,0.0,0.0,1,0.0,0.32208237737091017,1.0,-0.778183307195216
19,1.0,1.0,1,1.0,0.3098497645380129,1.0,-0.837369907078808
20,1.0,1.0,1,0.0,0.30610334334267997,0.0,-0.855750675203727
21,1.0,1.0,1,1.0,0.4303382387087041,0.0,-0.29327151713703187
22,1.0,1.0,1,0.0,0.3488244556161277,0.0,-0.6526983652839663
23,1.0,1.0,1,0.0,0.4476529875285065,0.0,-0.2197494058037247
24,1.0,0.0,0,1.0,0.48608928436774673,0.0,-0.058197327268139844
25,0.0,1.0,0,1.0,0.41440502406340934,0.0,-0.3615655913904631
26,1.0,1.0,1,0.0,0.4963391343731519,0.0,-0.015312038980284548
27,0.0,0.0,1,1.0,0.585476770421461,0.0,0.3610562854126992
28,0.0,0.0,1,1.0,0.6314255451114628,0.0,0.5629060967181996
29,1.0,1.0,1,0.0,0.6475232582883934,0.0,0.635925927193771
30,0.0,0.0,1,1.0,0.6777658011903067,1.0,0.7774563363474739
31,1.0,1.0,1,1.0,0.6831409962250727,1.0,0.803305756906821
32,0.0,0.0,1,0.0,0.5680429674293813,1.0,0.28636994749082134
33,0.0,1.0,0,1.0,0.4350772764725847,1.0,-0.27308442874197403
34,0.0,0.0,1,0.0,0.5007287711744582,1.0,0.003048126390075123
35,1.0,0.0,0,0.0,0.40159789124986517,1.0,-0.41701272135128814
36,1.0,1.0,1,1.0,0.4770518403264362,1.0,-0.09604937913085682
37,1.0,1.0,1,1.0,0.3812354503436089,1.0,-0.5064106464546807
38,1.0,1.0,1,1.0,0.35239881263800427,1.0,-0.63628296733197
39,0.0,0.0,1,0.0,0.3434861868591673,1.0,-0.677361187805702
40,0.0,0.0,1,1.0,0.31459459180905114,0.0,-0.814265423655661
41,0.0,0.0,1,1.0,0.4313116067571728,0.0,-0.2891209061761576
42,1.0,1.0,1,1.0,0.4780544409578425,0.0,-0.09184747849590547
43,1.0,1.0,1,0.0,0.47495659004120183,0.0,-0.10483311858446565
44,0.0,0.0,1,0.0,0.6081312451689942,0.0,0.4595201297554743
45,1.0,1.0,1,0.0,0.49111271094161896,0.0,-0.03717547492916873
46,1.0,1.0,1,0.0,0.5411486907326388,0.0,0.1724967273030375
47,1.0,1.0,1,0.0,0.5590589840269536,0.0,0.24817584137853613
48,0.0,0.0,1,1.0,0.5653545426518275,0.0,0.27492171811922583
49,1.0,1.0,1,0.0,0.6523085566300414,0.0,0.6579179938128961
