,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,1,1,1,1,0.5,1,0.0
1,1,1,1,1,1,0.24449304,1,-0.34076896
2,2,0,0,1,0,0.16580652,1,-0.48799878
3,3,1,1,1,1,0.16580652,1,-0.48799878
4,4,1,1,1,1,0.13868634,1,-0.5516097
5,5,1,0,0,0,0.12817033,1,-0.57909286
6,6,1,1,1,1,0.12817033,1,-0.57909286
7,7,1,1,1,1,0.123841286,1,-0.59096706
8,8,1,1,1,1,0.12201008,1,-0.5960973
9,9,1,1,1,0,0.12122615,1,-0.5983138
10,10,0,0,1,0,0.29820958,1,-0.25850254
11,11,1,1,1,1,0.29820958,1,-0.25850254
12,12,1,1,1,1,0.18272871,1,-0.45245543
13,13,1,1,1,1,0.14487182,1,-0.5362531
14,14,1,1,1,1,0.13064502,1,-0.572458
15,15,0,1,0,1,0.12487474,1,-0.58810043
16,16,1,1,1,1,0.12245002,1,-0.59485877
17,17,1,1,1,1,0.121415,1,-0.59777874
18,18,1,1,1,1,0.12097015,1,-0.59904027
19,19,0,1,0,1,0.1207784,1,-0.59958535
20,20,1,1,1,1,0.12069563,1,-0.59982085
21,21,1,1,1,1,0.12065988,1,-0.5999226
22,22,1,0,0,0,0.12064444,1,-0.5999666
23,23,1,1,1,1,0.12064444,1,-0.5999666
24,24,1,0,0,0,0.12063777,1,-0.59998554
25,25,1,1,1,0,0.12063777,1,-0.59998554
26,26,1,1,1,1,0.29770938,1,-0.2592248
27,27,1,1,1,1,0.18257447,1,-0.4527675
28,28,1,1,1,1,0.14481652,1,-0.5363879
29,29,1,1,1,1,0.13062312,1,-0.5725163
30,30,1,1,1,1,0.124865636,1,-0.58812565
31,31,1,1,1,0,0.12244615,1,-0.5948697
32,32,0,0,1,1,0.29924166,1,-0.25701445
33,33,0,1,0,1,0.5688818,1,0.08375449
34,34,0,0,1,0,0.40911192,1,-0.11104355
35,35,1,1,1,1,0.26729342,1,-0.3045827
36,36,1,1,1,1,0.21635412,1,-0.38874552
37,37,1,1,1,1,0.19663994,1,-0.42510822
38,38,1,1,1,1,0.1885526,1,-0.4408188
39,39,1,1,1,1,0.18513831,1,-0.44760656
40,40,1,1,1,1,0.18367803,1,-0.45053923
41,41,1,1,1,1,0.18304987,1,-0.4518063
42,42,1,1,1,1,0.18277898,1,-0.45235372
43,43,1,1,1,1,0.18266205,1,-0.45259026
44,44,1,0,0,0,0.18261154,1,-0.45269245
45,45,1,1,1,1,0.14484793,1,-0.5363114
46,46,1,1,1,1,0.14482982,1,-0.5363555
47,47,1,1,1,1,0.144822,1,-0.53637457
48,48,1,1,1,1,0.14481862,1,-0.53638285
49,49,1,1,1,1,0.14481716,1,-0.5363864
50,50,1,0,0,0,0.14481653,0,-0.5363879
51,51,1,0,0,0,0.13062337,0,-0.5725156
52,52,1,0,0,0,0.12486598,0,-0.5881247
53,53,1,1,1,0,0.12244653,0,-0.5948686
54,54,0,0,1,1,0.30126876,0,-0.2541003
55,55,0,0,1,0,0.5688822,0,0.08375496
56,56,0,1,0,0,0.4091123,0,-0.11104306
57,57,1,1,1,1,0.52991533,0,0.03618647
58,58,1,1,1,1,0.31049675,0,-0.24097171
59,59,1,1,1,0,0.23249973,0,-0.36071837
60,60,1,1,1,0,0.44094312,0,-0.071686186
61,61,1,1,1,0,0.5439119,0,0.05319068
62,62,0,1,0,0,0.5877634,0,0.107143946
63,63,1,1,1,0,0.60632795,0,0.13045456
64,64,0,1,0,1,0.6142581,0,0.14052594
65,65,0,0,1,0,0.34331658,0,-0.19589166
66,66,0,0,1,0,0.28349486,0,-0.28005448
67,67,0,0,1,1,0.2596902,0,-0.3164172
68,68,0,1,0,0,0.5071517,0,0.008641217
69,69,0,0,1,1,0.66275454,0,0.20406036
70,70,0,0,1,0,0.75778294,0,0.34450242
71,71,1,1,1,0,0.5531117,0,0.064411685
72,72,1,1,1,0,0.62076163,0,0.14884287
73,73,0,0,1,1,0.6487511,0,0.18532151
74,74,0,0,1,1,0.79267234,0,0.40507677
75,75,0,0,1,0,0.83962643,0,0.5000224
76,76,1,0,0,1,0.65994763,0,0.2002749
77,77,1,1,1,0,0.7961656,0,0.4115374
78,78,0,0,1,0,0.80450284,0,0.42729807
79,79,0,0,1,1,0.64305997,0,0.17780545
80,80,0,0,1,1,0.79575866,0,0.4107807
81,81,0,1,0,1,0.8446505,0,0.5114381
82,82,0,1,0,1,0.6428115,0,0.1774785
83,83,1,1,1,0,0.52744395,0,0.033190712
84,84,0,0,1,1,0.7372447,0,0.31161988
85,85,1,1,1,0,0.76416993,0,0.35510907
86,86,0,1,0,0,0.8283458,0,0.47540486
87,87,1,1,1,0,0.8514503,0,0.52737886
88,88,0,0,1,1,0.86061007,0,0.5498343
89,89,0,0,1,0,0.8679065,0,0.5686239
90,90,0,0,1,1,0.68594915,0,0.23597303
91,91,0,0,1,1,0.80746496,0,0.4330196
92,92,0,0,1,1,0.84754574,0,0.5181539
93,93,0,0,1,1,0.86262405,0,0.55493635
94,94,0,0,1,1,0.8687409,0,0.57082826
95,95,0,0,1,0,0.8713114,0,0.57769436
96,96,1,0,0,1,0.6887374,0,0.23989193
97,97,0,0,1,0,0.8083349,0,0.43471277
98,98,1,1,1,0,0.6432963,0,0.17811649
99,99,0,0,1,1,0.6506325,0,0.18781841
100,100,0,0,1,1,0.79946965,1,0.4177245
101,101,0,0,1,0,0.8470754,1,0.5170558
102,102,0,0,1,0,0.67386705,1,0.21920313
103,103,0,0,1,0,0.5743628,1,0.09051536
104,104,0,1,0,1,0.52886707,1,0.03491559
105,105,1,1,1,0,0.26919168,1,-0.30166164
106,106,0,1,0,1,0.41290453,1,-0.106311455
107,107,1,1,1,1,0.23134342,1,-0.36267903
108,108,1,1,1,1,0.17257972,1,-0.4734431
109,109,1,1,1,1,0.15111375,1,-0.5212989
110,110,0,0,1,1,0.14254071,1,-0.5419751
111,111,1,1,1,1,0.32176447,1,-0.22522809
112,112,1,1,1,0,0.31534445,1,-0.23416127
113,113,0,0,1,0,0.5842327,1,0.10274809
114,114,1,0,0,0,0.41703713,1,-0.10116979
115,115,1,1,1,1,0.34827375,1,-0.18927285
116,116,1,1,1,0,0.2187583,1,-0.38447955
117,117,0,1,0,0,0.39557385,1,-0.12804997
118,118,1,1,1,1,0.4857187,1,-0.017259125
119,119,1,0,0,0,0.2636922,1,-0.3101607
120,120,0,0,1,0,0.23996162,1,-0.3482258
121,121,1,1,1,0,0.23017225,1,-0.3646719
122,122,1,1,1,1,0.3779854,1,-0.15045156
123,123,1,1,1,1,0.21083729,1,-0.39866626
124,124,0,0,1,1,0.15776715,1,-0.50590783
125,125,1,1,1,0,0.36117706,1,-0.17224444
126,126,0,0,1,1,0.59977865,1,0.122190595
127,127,0,0,1,0,0.7071994,1,0.26635045
128,128,1,1,1,1,0.48995817,1,-0.012134
129,129,1,1,1,0,0.32142955,1,-0.22569178
130,130,1,1,1,1,0.51886994,1,0.022809159
131,131,1,1,1,1,0.3324274,1,-0.21059453
132,132,1,1,1,1,0.2628726,1,-0.311437
133,133,1,0,0,0,0.23589146,1,-0.35500616
134,134,1,1,1,1,0.17169143,1,-0.47532585
135,135,0,0,1,0,0.16300885,1,-0.49414998
136,136,1,0,0,0,0.14086594,1,-0.5461343
137,137,1,1,1,0,0.13210478,1,-0.5685942
138,138,1,1,1,1,0.31406137,1,-0.23595828
139,139,1,1,1,1,0.19253933,1,-0.4330113
140,140,1,0,0,0,0.15245664,1,-0.51814836
141,141,0,0,1,0,0.14835157,1,-0.52785224
142,142,1,0,0,0,0.1466064,1,-0.5320448
143,143,1,0,0,1,0.14585768,1,-0.5338562
144,144,1,1,1,1,0.34482723,1,-0.19386987
145,145,1,1,1,0,0.31785715,1,-0.23065351
146,146,1,1,1,1,0.577361,1,0.09422302
147,147,0,1,0,1,0.41300806,1,-0.10618247
148,148,1,0,0,0,0.34565187,1,-0.19276801
149,149,1,1,1,1,0.21753536,1,-0.3866453
150,150,0,0,1,0,0.1971915,0,-0.4240547
151,151,1,1,1,1,0.15692788,0,-0.5078197
152,152,1,1,1,1,0.14997754,0,-0.5239825
153,153,1,1,1,0,0.14705396,0,-0.5309657
154,154,1,0,0,1,0.3453181,0,-0.19321384
155,155,0,0,1,1,0.59114474,0,0.111364305
156,156,1,1,1,1,0.69090927,0,0.24295782
157,157,1,1,1,0,0.5397403,0,0.04811514
158,158,0,0,1,1,0.7327839,0,0.30470198
159,159,1,0,0,0,0.7679955,0,0.3615572
160,160,1,1,1,0,0.5374675,0,0.04535262
161,161,1,1,1,0,0.62648755,0,0.1562114
162,162,0,0,1,0,0.6627899,0,0.20410815
163,163,0,0,1,0,0.55563056,0,0.06749141
164,164,1,1,1,1,0.5070067,0,0.008465915
165,165,1,1,1,0,0.26276216,0,-0.31160918
166,166,1,1,1,0,0.41064492,0,-0.10912922
167,167,1,1,1,0,0.48209035,0,-0.0216474
168,168,0,0,1,1,0.51336336,0,0.016149271
169,169,0,0,1,0,0.7497421,0,0.33141616
170,170,1,1,1,0,0.60348284,0,0.12685882
171,171,1,1,1,0,0.61634505,0,0.14318892
172,172,0,0,1,0,0.62185335,0,0.15024439
173,173,1,1,1,0,0.5510267,0,0.061865024
174,174,0,0,1,1,0.55352217,0,0.06491335
175,175,0,0,1,1,0.7714814,0,0.36749786
176,176,0,1,0,0,0.83882576,0,0.49823
177,177,0,0,1,0,0.8394144,0,0.49954703
178,178,0,0,1,1,0.6709923,0,0.21526115
179,179,1,1,1,0,0.8075598,0,0.43320388
180,180,0,0,1,1,0.8078524,0,0.43377292
181,181,0,0,1,1,0.85168326,0,0.52793545
182,182,0,0,1,1,0.8679044,0,0.56861854
183,183,0,0,1,1,0.8744345,0,0.5861957
