,n_trial,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,0,0,1,0,1,0.5,1,0.35891062
1,1,0,0,1,0,0.9647323,1,0.21578081
2,2,0,0,1,1,0.87967277,1,0.48864028
3,3,0,1,0,1,0.98906606,1,0.66858953
4,4,0,1,0,1,0.99790037,1,0.7863382
5,5,0,0,1,0,0.99928993,1,0.48865804
6,6,0,1,0,0,0.98906785,1,0.32499915
7,7,0,0,1,1,0.9524042,1,0.56386477
8,8,0,0,1,0,0.994505,1,0.36065298
9,9,0,0,1,1,0.96527475,1,0.58875614
10,10,0,0,1,0,0.9956268,1,0.3776957
11,11,0,1,0,1,0.9701732,1,0.6047507
12,12,0,0,1,1,0.9962241,1,0.7367594
13,13,0,0,1,1,0.99887896,1,0.8263384
14,14,0,0,1,0,0.9995088,1,0.52742445
15,15,0,1,0,1,0.9923278,1,0.703189
16,16,0,0,1,0,0.9984729,1,0.44117436
17,17,0,0,1,0,0.9831646,1,0.27630678
18,18,0,0,1,0,0.9273945,1,0.1727728
19,19,0,0,1,0,0.83101445,1,0.10787343
20,20,0,0,1,0,0.729978,1,0.06725985
21,21,0,0,1,0,0.6502378,1,0.041883364
22,22,1,1,1,1,0.5953514,1,-0.34927467
23,23,1,1,1,0,0.038418252,1,-0.22857572
24,24,0,0,1,0,0.10838986,1,-0.244409
25,25,1,1,1,0,0.095068194,1,-0.15776992
26,26,0,0,1,0,0.1893071,1,-0.16763575
27,27,1,1,1,1,0.1757409,1,-0.46599686
28,28,1,1,1,1,0.013438037,1,-0.656191
29,29,1,1,1,1,0.0023532955,1,-0.77704066
30,30,1,1,1,1,0.0007735672,1,-0.8536063
31,31,1,1,1,1,0.00038204066,1,-0.90198886
32,32,1,1,1,1,0.00024459747,1,-0.9324901
33,33,1,1,1,1,0.00018465247,1,-0.9516774
34,34,1,1,1,1,0.00015471943,1,-0.9637238
35,35,1,1,1,0,0.00013845858,1,-0.6123627
36,36,1,1,1,0,0.003520876,1,-0.385402
37,37,1,1,1,1,0.027838185,1,-0.59841126
38,38,1,1,1,0,0.0040022144,1,-0.37778577
39,39,1,0,0,1,0.029802777,1,-0.5798995
40,40,1,1,1,0,0.004743465,1,-0.3568984
41,41,1,1,1,1,0.03590435,1,-0.5758719
42,42,1,1,1,1,0.004922025,1,-0.71989733
43,43,1,0,0,1,0.0013093607,1,-0.8013585
44,44,1,1,1,0,0.00061830116,1,-0.5039923
45,45,1,0,0,0,0.009504627,1,-0.32212946
46,46,1,1,1,1,0.04880952,1,-0.5633556
47,47,1,1,1,1,0.005520722,1,-0.71741486
48,48,1,0,0,1,0.0013396321,1,-0.7991516
49,49,1,0,0,0,0.0006310018,1,-0.4991528
50,50,1,1,1,0,0.009933989,0,-0.3253347
51,51,1,1,1,0,0.047455754,0,-0.20819463
52,52,0,0,1,1,0.1279289,0,0.15938148
53,53,0,0,1,1,0.81296253,0,0.39024585
54,54,0,0,1,1,0.9733452,0,0.5349801
55,55,0,0,1,1,0.99284035,0,0.62556475
56,56,0,0,1,1,0.99688137,0,0.68217087
57,57,0,0,1,1,0.998147,0,0.71749306
58,58,0,0,1,1,0.99866134,0,0.7395047
59,59,0,0,1,1,0.9989069,0,0.7532046
60,60,0,1,0,1,0.9990365,0,0.73372066
61,61,0,0,1,1,0.9988471,0,0.7500075
62,62,0,0,1,1,0.9990077,0,0.75996786
63,63,0,0,1,1,0.99909467,0,0.76605743
64,64,0,0,1,0,0.9991441,0,0.41086888
65,65,0,1,0,0,0.97785825,0,0.18032919
