,action_stage_1,state_of_stage_2,transition_type,reward,probs_action_0,correct,delta_q
0,1,1,1,0,0.5,0,0.0
1,0,0,1,1,0.9305798,0,0.0
2,0,0,1,1,0.92208993,0,0.0
3,0,0,1,1,0.99393004,0,0.0
4,0,0,1,1,0.9995271,0,0.0
5,0,0,1,1,0.99996316,0,0.0
6,0,0,1,1,0.99999714,0,0.0
7,0,0,1,0,0.99999976,0,0.0
8,1,1,1,0,0.069420196,0,0.0
9,0,0,1,1,0.99518085,0,0.0
10,0,0,1,1,0.92256284,0,0.0
11,0,0,1,1,0.9939669,0,0.0
12,0,0,1,1,0.99952996,0,0.0
13,0,0,1,1,0.9999634,0,0.0
14,0,0,1,1,0.99999714,0,0.0
15,0,1,0,1,0.99999976,0,0.0
16,0,0,1,1,1.0,0,0.0
17,0,0,1,1,1.0,0,0.0
18,0,1,0,0,1.0,0,0.0
19,0,0,1,1,0.0694202,0,0.0
20,0,0,1,0,0.9281599,0,0.0
21,1,0,0,1,0.06493559,0,0.0
22,1,0,0,1,0.072276175,0,0.0
23,1,1,1,0,0.005631043,0,0.0
24,1,1,1,0,0.93089265,0,0.0
25,1,1,1,1,0.99520254,0,0.0
26,0,0,1,0,0.07743984,0,0.0
27,1,1,1,0,0.06462416,0,0.0
28,0,0,1,1,0.9955138,0,0.0
29,1,1,1,0,0.9225262,0,0.0
30,0,0,1,0,0.93537736,0,0.0
31,1,1,1,0,0.0044861184,0,0.0
32,0,0,1,1,0.99968857,0,0.0
33,0,0,1,1,0.9221239,0,0.0
34,0,0,1,1,0.99393266,0,0.0
35,0,0,1,1,0.9995273,0,0.0
36,0,0,1,1,0.99996316,0,0.0
37,0,1,0,0,0.99999714,0,0.0
38,1,0,0,0,0.06942009,0,0.0
39,0,0,1,1,0.99518085,0,0.0
40,0,0,1,1,0.92256284,0,0.0
41,0,1,0,1,0.9939669,0,0.0
42,0,0,1,1,0.99952996,0,0.0
43,0,0,1,1,0.9999634,0,0.0
44,0,0,1,0,0.99999714,0,0.0
45,1,1,1,1,0.06942009,0,0.0
46,1,1,1,0,0.07184012,0,0.0
47,0,1,0,1,0.93506444,0,0.0
48,0,0,1,1,0.9277238,0,0.0
49,0,0,1,1,0.994369,0,0.0
50,0,0,1,1,0.9995613,1,0.0
51,0,1,0,0,0.99996585,1,0.0
52,1,1,1,1,0.0694187,1,0.0
53,1,1,1,1,0.071840316,1,0.0
54,1,1,1,1,0.005597085,1,0.0
55,1,0,0,0,0.00043606941,1,0.0
56,0,0,1,0,0.9306014,1,0.0
57,1,0,0,1,0.0048176646,1,0.0
58,1,1,1,1,0.07743738,1,0.0
59,1,0,0,1,0.0060331533,1,0.0
60,1,0,0,0,0.0004700435,1,0.0
61,0,0,1,0,0.9306029,1,0.0
62,1,1,1,1,0.0048175603,1,0.0
63,1,1,1,1,0.0774374,1,0.0
64,1,1,1,1,0.0060331547,1,0.0
65,1,0,0,0,0.0004700436,1,0.0
66,0,1,0,1,0.9306029,1,0.0
67,0,1,0,0,0.92815703,1,0.0
68,1,1,1,1,0.064935476,1,0.0
69,0,0,1,0,0.07227619,1,0.0
70,1,1,1,1,0.06491397,1,0.0
71,1,1,1,1,0.07227882,1,0.0
72,1,1,1,1,0.0056312494,1,0.0
73,1,1,1,1,0.00043873113,1,0.0
74,1,1,1,0,3.4181583e-05,1,0.0
75,0,0,1,0,0.93058133,1,0.0
76,1,1,1,1,0.00481906,1,0.0
77,1,1,1,1,0.07743719,1,0.0
78,1,1,1,1,0.0060331384,1,0.0
79,1,0,0,0,0.00047004235,1,0.0
80,0,0,1,0,0.9306029,1,0.0
81,1,1,1,0,0.0048175603,1,0.0
82,0,0,1,0,0.99966556,1,0.0
83,1,1,1,0,2.3216617e-05,1,0.0
84,0,0,1,1,0.9999984,1,0.0
85,0,0,1,1,0.9220901,1,0.0
86,0,0,1,0,0.99393004,1,0.0
87,1,0,0,0,0.06908566,1,0.0
88,0,0,1,0,0.99520403,1,0.0
89,1,0,0,0,0.00033293516,1,0.0
90,0,1,0,1,0.9999769,1,0.0
91,0,0,1,0,0.92209274,1,0.0
92,1,0,0,1,0.06460115,1,0.0
93,1,0,0,0,0.072313,1,0.0
94,0,0,1,0,0.9350876,1,0.0
95,1,1,1,1,0.0045062294,1,0.0
96,1,1,1,1,0.077471375,1,0.0
97,1,0,0,0,0.0060358015,1,0.0
98,0,1,0,0,0.93091285,1,0.0
99,1,1,1,0,0.004796045,1,0.0
100,0,1,0,0,0.99966705,0,0.0
101,1,0,0,1,2.311293e-05,0,0.0
102,1,1,1,0,0.077907234,0,0.0
103,0,1,0,0,0.9353989,0,0.0
104,1,0,0,1,0.004484625,0,0.0
105,1,0,0,0,0.07747402,0,0.0
106,0,0,1,1,0.93537736,0,0.0
107,0,0,1,1,0.9276896,0,0.0
108,0,0,1,1,0.9943663,0,0.0
109,0,0,1,0,0.9995611,0,0.0
110,1,1,1,0,0.06939848,0,0.0
111,0,0,1,0,0.99518234,0,0.0
112,1,1,1,0,0.0003344427,0,0.0
113,0,0,1,1,0.99997675,0,0.0
114,0,1,0,0,0.9220928,0,0.0
115,1,1,1,0,0.06460115,0,0.0
116,0,0,1,1,0.99551535,0,0.0
117,0,1,0,0,0.922526,0,0.0
118,1,1,1,1,0.06462265,0,0.0
119,1,1,1,1,0.07231037,0,0.0
120,1,1,1,1,0.0056337076,0,0.0
121,1,1,1,0,0.00043892267,0,0.0
122,0,1,0,0,0.93060154,0,0.0
123,1,1,1,0,0.0048176567,0,0.0
124,0,1,0,0,0.99966556,0,0.0
125,1,1,1,1,2.3217082e-05,0,0.0
126,1,1,1,0,0.07790722,0,0.0
127,0,0,1,1,0.9353989,0,0.0
128,0,1,0,0,0.927687,0,0.0
129,1,1,1,0,0.064912364,0,0.0
130,0,0,1,1,0.99549377,0,0.0
131,1,1,1,1,0.9225286,0,0.0
132,1,1,1,0,0.0060358015,0,0.0
133,0,0,1,0,0.93091285,0,0.0
134,1,1,1,0,0.004796045,0,0.0
135,0,0,1,1,0.99966705,0,0.0
136,1,1,1,0,0.92212653,0,0.0
137,0,1,0,0,0.9353973,0,0.0
138,1,1,1,1,0.004484729,0,0.0
139,1,1,1,0,0.077474006,0,0.0
140,0,0,1,1,0.93537736,0,0.0
141,0,0,1,1,0.9276896,0,0.0
142,0,0,1,1,0.9943663,0,0.0
143,0,0,1,0,0.9995611,0,0.0
144,1,0,0,0,0.06939848,0,0.0
145,0,0,1,0,0.99518234,0,0.0
146,1,1,1,0,0.0003344427,0,0.0
147,0,0,1,1,0.99997675,0,0.0
148,0,1,0,1,0.9220928,0,0.0
149,0,0,1,1,0.9939302,0,0.0
150,0,0,1,1,0.9995271,1,0.0
151,0,0,1,0,0.99996316,1,0.0
152,1,1,1,0,0.069418594,1,0.0
153,0,0,1,1,0.99518096,1,0.0
154,0,0,1,0,0.9225628,1,0.0
155,1,0,0,0,0.064624265,1,0.0
156,0,0,1,0,0.9955138,1,0.0
157,1,0,0,0,0.00031143497,1,0.0
158,0,0,1,0,0.99997836,1,0.0
159,1,1,1,0,1.5008565e-06,1,0.0
160,0,1,0,1,0.9999999,1,0.0
161,0,0,1,0,0.92208993,1,0.0
162,1,1,1,1,0.06460104,1,0.0
163,1,1,1,0,0.07231302,1,0.0
164,0,0,1,0,0.9350876,1,0.0
165,1,1,1,1,0.0045062294,1,0.0
166,1,1,1,0,0.077471375,1,0.0
167,0,0,1,0,0.93537724,1,0.0
168,1,1,1,1,0.004486125,1,0.0
169,1,0,0,0,0.07747381,1,0.0
170,0,0,1,0,0.93537736,1,0.0
171,1,1,1,1,0.004486118,1,0.0
172,1,1,1,1,0.07747381,1,0.0
