,action_stage_1,transition_type,reward,prev_reward,transition_prev,stay
0,0.0,1.0,0.0,0.0,0.0,False
1,1.0,1.0,0.0,0.0,1.0,False
2,1.0,0.0,0.0,0.0,1.0,True
3,0.0,1.0,1.0,0.0,0.0,False
4,0.0,1.0,1.0,1.0,1.0,True
5,0.0,1.0,1.0,1.0,1.0,True
6,0.0,1.0,1.0,1.0,1.0,True
7,1.0,1.0,0.0,1.0,1.0,False
8,1.0,0.0,1.0,0.0,1.0,True
9,1.0,1.0,1.0,1.0,0.0,True
10,1.0,1.0,0.0,1.0,1.0,True
11,1.0,1.0,0.0,0.0,1.0,True
12,1.0,0.0,1.0,0.0,1.0,True
13,1.0,1.0,1.0,1.0,0.0,True
14,0.0,1.0,0.0,1.0,1.0,False
15,1.0,1.0,1.0,0.0,1.0,False
16,1.0,1.0,0.0,1.0,1.0,True
17,0.0,1.0,1.0,0.0,1.0,False
18,1.0,0.0,1.0,1.0,1.0,False
19,1.0,1.0,0.0,1.0,0.0,True
20,0.0,1.0,1.0,0.0,1.0,False
21,0.0,1.0,1.0,1.0,1.0,True
22,0.0,1.0,1.0,1.0,1.0,True
23,0.0,0.0,0.0,1.0,1.0,True
24,0.0,1.0,1.0,0.0,0.0,True
25,0.0,1.0,1.0,1.0,1.0,True
26,1.0,1.0,0.0,1.0,1.0,False
27,1.0,1.0,1.0,0.0,1.0,True
28,1.0,1.0,0.0,1.0,1.0,True
29,1.0,1.0,0.0,0.0,1.0,True
30,0.0,1.0,0.0,0.0,1.0,False
31,0.0,1.0,1.0,0.0,1.0,True
32,0.0,0.0,0.0,1.0,1.0,True
33,0.0,1.0,1.0,0.0,0.0,True
34,0.0,1.0,1.0,1.0,1.0,True
35,0.0,1.0,1.0,1.0,1.0,True
36,0.0,0.0,0.0,1.0,1.0,True
37,0.0,1.0,0.0,0.0,0.0,True
38,0.0,0.0,0.0,0.0,1.0,True
39,0.0,0.0,0.0,0.0,0.0,True
40,0.0,1.0,1.0,0.0,0.0,True
41,0.0,1.0,1.0,1.0,1.0,True
42,0.0,1.0,1.0,1.0,1.0,True
43,0.0,1.0,1.0,1.0,1.0,True
44,0.0,1.0,1.0,1.0,1.0,True
45,1.0,0.0,1.0,1.0,1.0,False
46,1.0,1.0,0.0,1.0,0.0,True
47,1.0,0.0,1.0,0.0,1.0,True
48,1.0,1.0,0.0,1.0,0.0,True
49,0.0,1.0,1.0,0.0,1.0,False
50,1.0,1.0,0.0,1.0,1.0,False
51,0.0,1.0,1.0,0.0,1.0,False
52,0.0,1.0,0.0,1.0,1.0,True
53,0.0,1.0,1.0,0.0,1.0,True
54,0.0,0.0,1.0,1.0,1.0,True
55,0.0,0.0,1.0,1.0,0.0,True
56,0.0,1.0,1.0,1.0,0.0,True
57,0.0,1.0,1.0,1.0,1.0,True
58,0.0,1.0,0.0,1.0,1.0,True
