,agent,fit_parameters_hybrid,train_nlp_hybrid,test_acc_hybrid,test_nlp_hybrid,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression,train_acc_rnn,train_nlp_rnn,test_acc_rnn,test_nlp_rnn
0,0,[0.  0.1 1. ],0.6931469805599653,0.5,0.6931469805599658,[0.41621619 0.54268291],0.683981610141979,0.48,0.7100987239352556,"[array([-0.39605285]), array([[-0.35160704,  0.47217349,  0.3349259 ]])]",0.6741693568349598,0.46938775510204084,0.6779265601515644,0.5742856860160828,0.6775733828544617,0.46000000834465027,0.7095810174942017
1,0,[0.  0.1 1. ],0.6931469805599653,0.46,0.6931469805599658,[0.44444442 0.55      ],0.6875172152903866,0.54,0.686656039262163,"[array([-0.34278714]), array([[-0.20928072,  0.46279582,  0.33895276]])]",0.6773040539743939,0.5510204081632653,0.6588939697085844,0.5714285969734192,0.6724169254302979,0.5600000023841858,0.6823709011077881
2,0,[0.  0.1 1. ],0.6931469805599653,0.4,0.6931469805599658,[0.43315526 0.5246894 ],0.6877934144358131,0.56,0.685296467467548,"[array([-0.38991795]), array([[-0.31678343,  0.69520497,  0.2791139 ]])]",0.6727117970599857,0.5714285714285714,0.6887710744593234,0.6257143020629883,0.6400446891784668,0.5199999809265137,0.7593482136726379
3,0,[0.  0.1 1. ],0.6931469805599653,0.44,0.6931469805599658,[0.4226804  0.52903227],0.6857459537746148,0.5,0.7003845311892631,"[array([-0.42760157]), array([[-0.37918015,  0.69010838,  0.32528459]])]",0.6704706901587161,0.5102040816326531,0.7038370851613661,0.6085714101791382,0.6575508117675781,0.5400000214576721,0.7291069030761719
4,0,[0.  0.1 1. ],0.6931469805599653,0.48,0.6931469805599658,[0.41968942 0.51923036],0.6856730731800592,0.56,0.7008839396963913,"[array([-0.33566745]), array([[-0.39176327,  0.44620458,  0.27202506]])]",0.6770858903844579,0.5510204081632653,0.6605954542468792,0.5542857050895691,0.6797789931297302,0.6399999856948853,0.6757144927978516
5,0,[0.  0.1 1. ],0.6931469805599653,0.52,0.6931469805599658,[0.43455491 0.52531642],0.6878799863338895,0.58,0.6864246831213727,"[array([-0.31213606]), array([[-0.41381303,  0.39739184,  0.40519306]])]",0.6787558583451182,0.5714285714285714,0.6491721957890662,0.6085714101791382,0.6671267151832581,0.5799999833106995,0.6678363084793091
6,0,[0.  0.1 1. ],0.6931469805599653,0.58,0.6931469805599658,[0.45595873 0.53846104],0.6896850647360475,0.6,0.677089971804552,"[array([-0.31548332]), array([[-0.31711072,  0.5311477 ,  0.53531036]])]",0.6732652436395036,0.3877551020408163,0.6924988984846451,0.631428599357605,0.6508564352989197,0.47999998927116394,0.7238706946372986
7,0,[0.  0.1 1. ],0.6931469805599653,0.48,0.6931469805599658,[0.44736817 0.53459163],0.6890458622204421,0.6,0.675421250844684,"[array([-0.35338615]), array([[-0.17562609,  0.60584069,  0.2099707 ]])]",0.677196781167482,0.6122448979591837,0.6551422652529869,0.6114285588264465,0.6668899655342102,0.47999998927116394,0.705344021320343
8,1,[9.43457318e-03 1.00000000e+01 6.18013532e-01],0.6720706365527821,0.58,0.6611702936998877,[0.72903176 0.01030933],0.29253171396800787,0.84,0.3154161362307212,"[array([2.11758638]), array([[-2.40118573,  0.76460044, -0.2936239 ]])]",0.2910836465752743,0.8571428571428571,0.3131782606861422,0.868571400642395,0.380977988243103,0.800000011920929,0.4404180645942688
9,1,[9.80707161e-03 1.00000000e+01 7.87499104e-01],0.6648515023283553,0.64,0.6719569320143041,[0.726708  0.0106382],0.3034182829131014,0.88,0.23321520583920685,"[array([2.08520366]), array([[-2.31230264,  0.78373091, -0.42667903]])]",0.3024033036868192,0.8979591836734694,0.23410057456559322,0.845714271068573,0.41789743304252625,0.8199999928474426,0.4107062816619873
