,agent,fit_parameters_mf,train_nlp_mf,test_acc_mf,test_nlp_mf,fit_parameters_mb,train_nlp_mb,test_acc_mb,test_nlp_mb,fit_parameters_habit,train_nlp_habit,test_acc_habit,test_nlp_habit,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_kdh,train_nlp_kdh,test_acc_kdh,test_nlp_kdh,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression
0,0,[0.36111221 4.18675004],0.48234014630138183,0.78,0.49521887592040004,[0.56442798 8.33348413],0.2639134337655878,0.86,0.31333106698235497,[0.36525717 2.38474688],0.39716917040797917,0.805,0.4739085501432419,[0.90891097 0.31972784],0.42372839007866125,0.79,0.48547619000077247,[0.50749983 0.52000062],0.6926906217158196,0.51,0.6930535805225372,"[array([1.28524374]), array([[0.33320954, 0.70270779, 2.36022379]])]",0.3531751257646829,0.7939698492462312,0.39596648667007683
1,0,[0.40688014 3.64987613],0.5210721665147682,0.85,0.3865201885998249,[0.56814931 8.18984612],0.29612007448643946,0.895,0.219528175459709,[0.38491276 2.23792622],0.42637872711072794,0.86,0.37094232451170683,[0.89858013 0.3202614 ],0.44296719911509,0.825,0.4192471810430288,[0.49000008 0.50249931],0.6930407238666768,0.5,0.6944537365436554,"[array([1.31891508]), array([[0.24324036, 0.41196331, 2.25995933]])]",0.37662168929353357,0.8241206030150754,0.3206411371566355
2,0,[0.32044363 5.55091092],0.4470640712229492,0.85,0.41097106019267815,[0.58754543 8.29277948],0.26262147767391775,0.895,0.319168581883423,[0.3546657  2.35958138],0.40746571549008803,0.845,0.43180617440491914,[0.9034206  0.31125824],0.4322032927083822,0.79,0.4569419160112739,[0.51749952 0.51499936],0.6926156342417564,0.5,0.6938288432359695,"[array([1.24812713]), array([[0.13912188, 0.99353209, 2.59067901]])]",0.3445734270662069,0.7487437185929648,0.44059020578861235
3,0,[0.28782616 5.69966393],0.44470655634530365,0.82,0.4250520288548432,[0.55347152 8.14976796],0.2664741087032093,0.86,0.2939084855210967,[0.32826898 2.42501304],0.39587291745800884,0.815,0.46567826602607965,[0.90427706 0.30519476],0.43140770916901183,0.79,0.46106645733118057,[0.53       0.53749995],0.6908388684462122,0.43,0.7047732782363891,"[array([1.39107683]), array([[0.1241765 , 0.34547721, 2.47879388]])]",0.35605140078812836,0.7889447236180904,0.3905056131631136
4,0,[0.47065767 3.62760853],0.4946928661339842,0.765,0.4898008342273533,[0.58767135 8.17276554],0.2957557991563118,0.935,0.18666383133502676,[0.32348945 2.260608  ],0.43635100231097357,0.91,0.3137674992159009,[0.89759043 0.36877073],0.4541909876386219,0.89,0.3764367966353893,[0.49500353 0.51499849],0.6928969463958836,0.485,0.6930966264009476,"[array([1.20432099]), array([[0.4071023 , 0.50636488, 2.32274167]])]",0.38233218832872806,0.9095477386934674,0.290085941106081
5,1,[0.1625308  0.27015777],0.6923182660321672,0.53,0.6903566834330559,[0.68822185 0.35597867],0.690615036464184,0.555,0.6863658422231674,[0.03791441 0.32548597],0.692852649976654,0.475,0.6947285363078117,[0.51530608 0.51105649],0.69279295696249,0.52,0.6926110261678695,[0.49499993 0.44249995],0.6898084037908382,0.47,0.7013209348917008,"[array([0.00698244]), array([[ 0.12368104,  0.00528943, -0.03268828]])]",0.6919016648828983,0.5175879396984925,0.6894910243153572
6,1,[0.  0.1],0.6931469805599655,0.46,0.6931471824645996,[8.31600618e-04 1.00000000e+01],0.6927092395209619,0.5,0.6934118235111236,[0.  0.1],0.6931469805599655,0.46,0.6931471824645996,[0.5110565  0.52551013],0.6923845525927771,0.505,0.6947094550728798,[0.50750001 0.46499999],0.6918647260677543,0.51,0.6913757386803627,"[array([-0.05990331]), array([[0.06153639, 0.09258457, 0.12846616]])]",0.6910415332764387,0.47738693467336685,0.6939032790064812
7,1,[0.  0.1],0.6931469805599655,0.41,0.6931471824645996,[0.  0.1],0.6931469805599655,0.41,0.6931471824645996,[0.  0.1],0.6931469805599655,0.41,0.6931471824645996,[0.50518133 0.50847457],0.6930469172673992,0.54,0.6921274191141129,[0.50249996 0.49500009],0.6931157301172494,0.58,0.6915283957123757,"[array([-0.00094338]), array([[ 0.09258342, -0.01574856, -0.06258113]])]",0.6920956539362669,0.542713567839196,0.6898678186535835
8,1,[0.06237695 0.98547794],0.6898268557624622,0.465,0.6990645191073418,[0.74024267 0.4632519 ],0.6883763240712841,0.5,0.6966909623146057,[0.00341985 1.05542245],0.6927101305641705,0.475,0.6934950399398804,[0.51100197 0.51025662],0.6929206217665083,0.525,0.6922053208947182,[0.49000008 0.44750009],0.6902856368151182,0.47,0.6989266216754914,"[array([0.00906909]), array([[-0.05350111, -0.02958755,  0.21590257]])]",0.6911269787698984,0.457286432160804,0.6964729622006416
9,1,[0.44699532 0.29921966],0.6909678806776646,0.515,0.6938571539521218,[0.00075945 0.10014742],0.6931469186242086,0.53,0.6931468024849892,[0.  0.1],0.6931469805599655,0.475,0.6931471824645996,[0.52926829 0.51413882],0.6920739949895928,0.48,0.6964983534812927,[0.505      0.45999998],0.6915202690925092,0.505,0.6925721749663353,"[array([-0.00484857]), array([[ 0.22628592,  0.11613603, -0.09443823]])]",0.6907340434938669,0.4824120603015075,0.6967057228088379
