,agent,fit_parameters_mf,train_nlp_mf,test_acc_mf,test_nlp_mf,fit_parameters_mb,train_nlp_mb,test_acc_mb,test_nlp_mb,fit_parameters_habit,train_nlp_habit,test_acc_habit,test_nlp_habit,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_kdh,train_nlp_kdh,test_acc_kdh,test_nlp_kdh,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression
0,0,[0.70648449 6.18364764],0.24464721904346004,0.86,0.2539208406361286,[0.30446794 5.44858878],0.4403795137516117,0.81,0.47704158099368216,[0.52296866 2.22632706],0.39824994294998406,0.825,0.4388799794018269,[0.98591559 0.37748341],0.29706683073016504,0.825,0.30283617238514127,[0.46999998 0.46249996],0.6908388684462102,0.45,0.7020690011978149,"[array([2.0742378]), array([[2.72387285, 0.26558707, 0.96758523]])]",0.29261033415328713,0.8241206030150754,0.3116549361217767
1,0,[0.7088858  6.47047928],0.24439162971859524,0.89,0.2511514031467959,[0.24349589 5.63044644],0.4401207169402379,0.8,0.47333531264215706,[0.46965035 2.26678393],0.40131048521368046,0.825,0.412611168846488,[0.98960508 0.38050312],0.2996870063382848,0.85,0.28682090699672697,[0.47       0.45999999],0.6906447287300894,0.445,0.7032668468356132,"[array([2.04192204]), array([[2.96469466, 0.65665644, 0.87917202]])]",0.29809475269168617,0.8542713567839196,0.2817291760072112
2,0,[0.73462028 6.1782752 ],0.25579680535429006,0.895,0.20362661801744253,[0.27887192 5.3093948 ],0.46803726442292487,0.84,0.37125094804912806,[0.51297044 2.16691312],0.413040506124991,0.86,0.36455496795475484,[0.98757773 0.38607592],0.30468074637922926,0.86,0.2668422599742189,[0.49250026 0.48499991],0.6928656946883212,0.54,0.6914780524373054,"[array([2.04078408]), array([[2.95556173, 0.45836534, 0.7689878 ]])]",0.30330542907118796,0.864321608040201,0.26017791891470554
3,0,[0.70154421 6.29161895],0.2508446720623322,0.885,0.23024411339079962,[0.31247926 5.58129701],0.4398125375302085,0.81,0.49455685138702393,[0.49533895 2.17928177],0.41497398892596093,0.87,0.3684786218032241,[0.98757773 0.39240503],0.30580702731845993,0.865,0.2673026890773326,[0.49999999 0.5075    ],0.6930907284504005,0.46,0.6953035867214203,"[array([2.0453423]), array([[2.84695404, 0.34775968, 1.0175121 ]])]",0.3009945459163282,0.8693467336683417,0.2751823764992878
4,0,[0.7306089  6.63323109],0.23178328839186463,0.845,0.3095217154372949,[0.30017952 5.23023338],0.4479916544069701,0.84,0.4569843471609056,[0.54987968 2.20986016],0.3956980915515508,0.805,0.44827097572386265,[0.9919999  0.38127054],0.27841297122536574,0.805,0.37855412540491673,[0.50749893 0.47500007],0.6924654677741118,0.46,0.6946786937117576,"[array([2.23879644]), array([[3.17866666, 0.07300098, 0.67321811]])]",0.27700054752873254,0.8090452261306532,0.3658794423379004
5,1,[0.  0.1],0.6931469805599655,0.445,0.6931471824645996,[0.  0.1],0.6931469805599655,0.445,0.6931471824645996,[0.  0.1],0.6931469805599655,0.445,0.6931471824645996,[0.57446817 0.54255329],0.6855565552295468,0.58,0.6798346427083015,[0.50250037 0.47500016],0.6925154698566541,0.555,0.6882746240496636,"[array([0.04054648]), array([[0.26981291, 0.0344103 , 0.31268008]])]",0.6828323321789503,0.5778894472361809,0.6783225893974304
6,1,[0.6197386  0.80792201],0.6709379625843488,0.595,0.6551769155263901,[0.52870258 0.91348717],0.6778669145040465,0.585,0.6738232734799385,[0.  0.1],0.6931469805599655,0.47,0.6931471824645996,[0.57360407 0.54320989],0.6858984517622707,0.595,0.6770140352845192,[0.49750094 0.46749976],0.6920837354989863,0.53,0.6891045087575912,"[array([0.07395118]), array([[ 0.32468292, -0.06910652,  0.23600557]])]",0.6837468802183867,0.5829145728643216,0.6727928867936135
7,1,[0.74266836 0.80526012],0.6660711821118341,0.58,0.6784672366082668,[0.63631949 0.95788862],0.6749551111566388,0.55,0.6886751021444798,[0.17844485 0.43064677],0.6903530551713832,0.555,0.6872123956680298,[0.58009715 0.55555549],0.6835181281200059,0.545,0.6878365954756737,[0.49749984 0.44749992],0.6903793934568243,0.49,0.6960249900817871,"[array([0.00464079]), array([[0.37036605, 0.11894883, 0.26036491]])]",0.6812157311290502,0.5477386934673367,0.6856043353676796
8,1,[0.78987837 0.68264342],0.6729138478294374,0.625,0.6544341503083706,[0.71819429 0.71038084],0.682490334488116,0.605,0.6629090765118599,[0.  0.1],0.6931469805599655,0.47,0.6931471824645996,[0.57960222 0.52644787],0.6860570500787329,0.605,0.6797611248493195,[0.52       0.44499999],0.6897157436894453,0.46,0.7004969245195389,"[array([0.18599738]), array([[ 0.3204995 , -0.28016373,  0.19372788]])]",0.6825821713358163,0.5527638190954773,0.6872088539600373
9,1,[0.79144189 0.8005019 ],0.665766333475045,0.59,0.6838356603682041,[0.62439506 0.8793405 ],0.6779424170192678,0.58,0.6818036292493344,[0.11434994 0.64224035],0.6887411986913698,0.51,0.6946815863251686,[0.59420291 0.56883117],0.6793324949611808,0.495,0.708086499273777,[0.49250003 0.45499996],0.6910629858044234,0.495,0.6931294003129005,"[array([0.00428144]), array([[0.48581085, 0.12586837, 0.24695276]])]",0.6771920143067837,0.49246231155778897,0.7051416644454003
10,2,[0.04129692 5.10836996],0.5582655581565499,0.74,0.5074307237565517,[ 0.01636868 10.        ],0.5617428536221163,0.74,0.5259303503111005,[0.09438239 2.15484859],0.5570119937612428,0.735,0.5308476078510285,[0.71064824 0.41416896],0.6369026858124048,0.68,0.6132807043194771,[0.42000111 0.41750023],0.6798819157084501,0.745,0.6260654640197754,"[array([0.5896823]), array([[0.39447239, 0.09223672, 0.23541295]])]",0.6349770880118012,0.6834170854271356,0.6063383175432682
11,2,[0.02012707 5.40205767],0.5777442122288361,0.735,0.5766978093981743,[7.84194206e-03 1.00000000e+01],0.5906444293953301,0.735,0.563581227734685,[0.09215384 2.0965426 ],0.5685804919744348,0.795,0.4927669724822044,[0.71034487 0.44505493],0.6407473281299351,0.74,0.6054209648072719,[0.3075     0.29000027],0.609618508694594,0.265,0.9825795690715313,"[array([0.52634728]), array([[0.53912075, 0.09498871, 0.21017168]])]",0.6389607456326485,0.7386934673366834,0.5982639077305794
12,2,[0.05940264 5.30451973],0.5235268491790995,0.63,0.6748084633797408,[ 0.01750206 10.        ],0.5974917715511386,0.625,0.6638174630701542,[0.10811946 2.26803919],0.5172772640764551,0.63,0.686525137796998,[0.74884798 0.39178045],0.6120944808936241,0.555,0.7238603249192238,[0.38499991 0.38249988],0.6658666224440014,0.605,0.6710700179636478,"[array([0.71657349]), array([[0.41163823, 0.13971055, 0.37482759]])]",0.6086069850251079,0.5527638190954773,0.7223952957987785
13,2,[0.03860254 6.36730668],0.5359419612999906,0.71,0.5793493838980794,[ 0.01775601 10.        ],0.5805574958637245,0.67,0.6056845542043447,[0.08252322 2.24231592],0.535920033293398,0.685,0.6036431165784597,[0.7272728 0.3937008],0.6262924478872037,0.61,0.663067182302475,[0.39499987 0.39249995],0.6703925132084941,0.645,0.6535446332395076,"[array([0.69564183]), array([[0.37812582, 0.0265297 , 0.26857372]])]",0.6241645534336567,0.6080402010050251,0.6570622664690018
14,2,[0.04451379 5.34807074],0.5717965959437246,0.825,0.4225341415219009,[ 0.02114836 10.        ],0.5640209403579507,0.815,0.4553389020636678,[0.08743696 2.05976448],0.577374337799137,0.785,0.44890822380781176,[0.69859817 0.41778974],0.6434615279102621,0.71,0.5912728613615036,[0.45249998 0.41749997],0.684049849803834,0.81,0.6240026667714119,"[array([0.55313538]), array([[0.27860561, 0.09866355, 0.3748579 ]])]",0.6397676802799106,0.7135678391959799,0.591881969422102
15,3,[0.21592724 5.8782502 ],0.405596430749867,0.815,0.3861512296972796,[0.21603396 3.98638257],0.5494799637995414,0.705,0.5948784648254514,[0.25840867 2.15880709],0.4837362751459988,0.82,0.42618607625365257,[0.85876999 0.37777774],0.5226464165328814,0.785,0.5009999488294125,[0.43749976 0.41499997],0.6819702848661845,0.645,0.6619938439130784,"[array([1.09828025]), array([[1.03008139, 0.06563729, 0.47395346]])]",0.5184133472293615,0.7889447236180904,0.49950125969946385
16,3,[0.2349802  3.83977352],0.5125979760949657,0.83,0.394991846755147,[0.19212876 3.32161811],0.5895949091594586,0.825,0.4710072838515043,[0.2704872  2.19877898],0.4731166725999353,0.78,0.4697922387346625,[0.86634856 0.35263161],0.5151449551370355,0.745,0.5305960035324097,[0.40249998 0.395     ],0.672472051330117,0.535,0.6995052054524422,"[array([1.24288448]), array([[ 1.11028374, -0.14348571,  0.24956803]])]",0.5125223295949399,0.7487437185929648,0.5239846403896808
17,3,[0.24570187 3.86720792],0.5246084466561018,0.855,0.3529998025018722,[0.19032512 3.63372782],0.5661974405956188,0.755,0.5480289141833782,[0.28792601 2.11429504],0.48480579821861913,0.825,0.4235994249209762,[0.85360367 0.37746471],0.5260937795824467,0.795,0.4876609633862972,[0.4049998  0.40000048],0.6739991237571068,0.55,0.6925832176208496,"[array([1.1033815]), array([[ 0.99078579, -0.06123779,  0.47927691]])]",0.5211767023429275,0.7939698492462312,0.49005165554583074
18,3,[0.22461014 4.06854485],0.48970239077971756,0.805,0.4724638598412275,[0.14589537 4.6841938 ],0.5442664277154006,0.685,0.5971658406406641,[0.27006733 2.28050821],0.451771256048975,0.73,0.5494836987555027,[0.86651677 0.35014023],0.5069365396496125,0.72,0.559185805246234,[0.40249997 0.39749997],0.6729984461100094,0.54,0.697144900560379,"[array([1.15129984]), array([[0.95513436, 0.19682681, 0.47524996]])]",0.5030451052449644,0.7236180904522613,0.5582324048876762
