,agent,fit_parameters_mf,train_nlp_mf,test_acc_mf,test_nlp_mf,fit_parameters_mb,train_nlp_mb,test_acc_mb,test_nlp_mb,fit_parameters_habit,train_nlp_habit,test_acc_habit,test_nlp_habit,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_kdh,train_nlp_kdh,test_acc_kdh,test_nlp_kdh,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression
0,0,[0.  0.1],0.6931469805599655,0.515,0.6931471824645996,[0.  0.1],0.6931469805599655,0.515,0.6931471824645996,[0.  0.1],0.6931469805599655,0.515,0.6931471824645996,[0.31367921 0.80533339],0.5615890358579868,0.79,0.5158209895342588,[0.49249957 0.48249945],0.6927844158941818,0.485,0.6939599651098252,"[array([-1.17792866]), array([[0.60840709, 0.28554199, 0.04291458]])]",0.5591676753386855,0.7889447236180904,0.516153234243393
1,0,[0.  0.1],0.6931469805599655,0.475,0.6931471824645996,[0.  0.1],0.6931469805599655,0.475,0.6931471824645996,[0.  0.1],0.6931469805599655,0.475,0.6931471824645996,[0.3075117 0.8042896],0.5599825476977255,0.775,0.5287881016731262,[0.49750134 0.49750008],0.6931344805096845,0.525,0.6929096493124962,"[array([-1.13624447]), array([[0.37909991, 0.11381173, 0.35305048]])]",0.5566827583312989,0.7738693467336684,0.5327445562183857
2,0,[0.  0.1],0.6931469805599655,0.5,0.6931471824645996,[0.  0.1],0.6931469805599655,0.5,0.6931471824645996,[0.  0.1],0.6931469805599655,0.5,0.6931471824645996,[0.28674691 0.80729174],0.5469687374926907,0.72,0.5820495088398456,[0.49999976 0.48249999],0.6928406680033254,0.5,0.6934536099433899,"[array([-1.20350602]), array([[0.3674269 , 0.13422047, 0.2349618 ]])]",0.5448312485590577,0.7185929648241206,0.5789597770571708
3,0,[0.  0.1],0.6931469805599655,0.485,0.6931471824645996,[0.  0.1],0.6931469805599655,0.485,0.6931471824645996,[0.  0.1],0.6931469805599655,0.485,0.6931471824645996,[0.30023636 0.81648942],0.5480039638063856,0.735,0.5759972150623799,[0.51749997 0.47249998],0.6920840362651327,0.445,0.6988642385601997,"[array([-1.16469059]), array([[0.50023994, 0.01295109, 0.21147766]])]",0.5465088969841599,0.7336683417085427,0.5703077617287636
4,0,[0.  0.1],0.6931469805599655,0.49,0.6931471824645996,[0.  0.1],0.6931469805599655,0.49,0.6931471824645996,[0.  0.1],0.6931469805599655,0.49,0.6931471824645996,[0.30361443 0.81250004],0.5509619062048876,0.74,0.5638279911130667,[0.49250004 0.4949999 ],0.6930657280337295,0.51,0.6931784248352051,"[array([-1.1255005]), array([[ 0.51123119, -0.04679937,  0.1901662 ]])]",0.5495982306450605,0.7437185929648241,0.559907296448946
5,1,[0.01295259 1.13053268],0.6918585281547106,0.48,0.6962137630581856,[0.00962405 2.37273694],0.6914124599452824,0.53,0.6935629951953888,[0.00544039 0.70649921],0.6928986956972856,0.46,0.6938628658652306,[0.51804127 0.40632606],0.6837615732444243,0.56,0.6762531527876854,[0.53750009 0.51750045],0.6914330966688149,0.495,0.695615283548832,"[array([0.22212057]), array([[-0.2785423 ,  0.00427513, -0.03573449]])]",0.6828804037719965,0.5577889447236181,0.6725694453716278
6,1,[0.01050782 1.06927169],0.6918337389905435,0.525,0.6934437394142151,[0.01104368 2.44258179],0.6910642625608537,0.525,0.6954565382003784,[0.00521493 0.36306987],0.6930943725534908,0.49,0.6934125500917435,[0.51645596 0.391089  ],0.6808027480676685,0.53,0.6868322905898094,[0.51749977 0.52250083],0.6923342470060878,0.525,0.6924100545048714,"[array([0.23572104]), array([[-0.29273367,  0.0475021 , -0.12108571]])]",0.6796590975672007,0.5326633165829145,0.684042112827301
7,1,[0.00513306 1.36798433],0.6914893391806777,0.495,0.6932476323843002,[0.00393148 3.45335733],0.6911528227660049,0.505,0.6936361980438233,[6.46605081e-04 4.00000000e+00],0.692620771744228,0.465,0.6936995902657509,[0.49610383 0.39613514],0.6818851910014285,0.53,0.6815729761123657,[0.53749999 0.5225    ],0.6912329882273905,0.485,0.6967161473631859,"[array([0.2115341]), array([[-0.32196132, -0.04576437, -0.18280035]])]",0.68031109649688,0.5226130653266332,0.6811694088578224
8,1,[0.00755103 1.30227278],0.6919392861675135,0.525,0.6933216562867165,[0.00719471 2.35793731],0.6921184479517324,0.535,0.6904456189274788,[0.  0.1],0.6931469805599655,0.535,0.6931471824645996,[0.49462368 0.38173308],0.6780464503057523,0.485,0.6981959608197212,[0.53000001 0.505     ],0.6922214393641789,0.535,0.6923723527789116,"[array([0.22163894]), array([[-0.46014411,  0.02097804, -0.05367568]])]",0.6771411081403493,0.5125628140703518,0.6940018531680107
9,1,[0.  0.1],0.6931469805599655,0.565,0.6931471824645996,[0.01971663 1.0555589 ],0.6920882724680575,0.515,0.6912952682375908,[0.91950618 0.2416724 ],0.6868679713584191,0.57,0.6838319969177246,[0.51399502 0.40394058],0.6835302798981755,0.57,0.6756439054012299,[0.51749997 0.50249999],0.692834417977225,0.565,0.6907088530063629,"[array([0.21918754]), array([[-0.29105866,  0.00561065, -0.05986245]])]",0.6826042669266462,0.5678391959798995,0.6719134610891342
10,2,[1.        1.0991433],0.6278418583209958,0.685,0.5908756157755852,[1.         1.11397803],0.6572601365758795,0.62,0.6310760685801506,[0.  0.1],0.6931469805599655,0.435,0.6931471824645996,[0.75369508 0.61068511],0.6125439300943271,0.69,0.5694020047783852,[0.46999893 0.51500025],0.6920214060199025,0.505,0.691869350373745,"[array([0.297724]), array([[1.4675505 , 0.08738606, 0.08749557]])]",0.6116637463867665,0.6934673366834171,0.5649866744875908
11,2,[0.99163163 1.29692375],0.6051032043871654,0.575,0.6849897546321153,[1.         1.41070217],0.6374033342034786,0.485,0.715723327845335,[0.52589932 0.66193516],0.6694338325533118,0.635,0.6610323905944824,[0.77411768 0.61764578],0.5956710657092535,0.625,0.6367084029316902,[0.46250053 0.49499985],0.6917144088089441,0.51,0.691776784658432,"[array([0.32335354]), array([[1.50372991, 0.11475076, 0.26417662]])]",0.5939809025079011,0.6231155778894473,0.6354382669180632
12,2,[1.         1.11764951],0.6267668900850751,0.645,0.6054450665414334,[1.         1.12176763],0.6582570851590139,0.655,0.6339095868170261,[0.62492071 0.66774527],0.6636887515431468,0.57,0.6804892851412296,[0.77590363 0.57291664],0.604452260475957,0.72,0.5927974000573158,[0.4625     0.48250001],0.6914330966686123,0.485,0.6943091797828674,"[array([0.44910623]), array([[1.47525933, 0.05832444, 0.02772199]])]",0.6036225118860602,0.7185929648241206,0.588894065618515
13,2,[1.         1.14555088],0.6243603076973925,0.665,0.6159299337863922,[1.         1.19804422],0.653121812246676,0.62,0.653704320192337,[0.62907882 0.72454487],0.6578383629489051,0.525,0.7065487357974053,[0.78333334 0.56200496],0.5999872104816005,0.72,0.613417527526617,[0.44999992 0.49749991],0.6906365471107566,0.49,0.696719371676445,"[array([0.47305571]), array([[1.40088124, 0.10992155, 0.15281737]])]",0.5988543715514243,0.7185929648241206,0.6097919388115406
14,2,[0.99695585 1.16357788],0.6231696444565487,0.655,0.6188061252236366,[1.         1.17986465],0.6556547958421882,0.625,0.6421484884619713,[0.  0.1],0.6931469805599655,0.455,0.6931471824645996,[0.78780496 0.58354757],0.5959747754058575,0.67,0.6316326142847538,[0.46499999 0.51      ],0.6918209715095855,0.505,0.6917695736885071,"[array([0.3801932]), array([[1.4499677 , 0.32246037, 0.24323127]])]",0.5931400481611491,0.6733668341708543,0.6377120959758759
15,3,[7.64674998e-04 9.51798025e+00],0.6915639545908104,0.53,0.6939279881119728,[2.00290761e-03 1.00000000e+01],0.6899319383051861,0.47,0.6963470554351807,[0.02386799 0.870366  ],0.691179324231741,0.49,0.6947706517577171,[0.38281247 0.43132528],0.6749313804162044,0.67,0.6407532107830047,[0.48749983 0.55750035],0.6896771379275453,0.53,0.6924162861704827,"[array([-0.16950763]), array([[-0.64049865,  0.22183733, -0.14653641]])]",0.6727499702200294,0.6683417085427136,0.6370585715770721
16,3,[4.72556044e-04 1.00000000e+01],0.6921134400193641,0.52,0.6935213634371757,[9.63396919e-04 1.00000000e+01],0.6915870068155741,0.47,0.6931206795573235,[0.  0.1],0.6931469805599655,0.53,0.6931471824645996,[0.35516366 0.425373  ],0.6664073757695896,0.605,0.6715910397469997,[0.4775003  0.55250025],0.6898792224850635,0.52,0.6916063633561135,"[array([-0.19284207]), array([[-0.77884122,  0.14201592, -0.15865332]])]",0.6647684125602246,0.6030150753768844,0.6650972241163253
17,3,[0.  0.1],0.6931469805599655,0.565,0.6931471824645996,[3.46988793e-04 1.00000000e+01],0.6930751121417069,0.565,0.6915910857915878,[0.  0.1],0.6931469805599655,0.565,0.6931471824645996,[0.34015342 0.40931371],0.6592920196045445,0.545,0.700040670633316,[0.47499998 0.53749996],0.6911141485478813,0.545,0.6879185122251511,"[array([-0.18699839]), array([[-0.84611941,  0.11449163, -0.2646758 ]])]",0.6569960311055183,0.5477386934673367,0.6961545489728451
18,3,[0.  0.1],0.6931469805599655,0.525,0.6931471824645996,[1.77972916e-03 9.03702836e+00],0.6924172908232878,0.525,0.6928224277496338,[0.  0.1],0.6931469805599655,0.525,0.6931471824645996,[0.36197905 0.40963855],0.6661014738742281,0.6,0.6688235798478126,[0.48249991 0.54999993],0.6903364845801017,0.535,0.6895959115028382,"[array([-0.14590896]), array([[-0.84972171,  0.14325741, -0.09281822]])]",0.6647579430043697,0.5979899497487438,0.6616757547855378
19,3,[0.00336488 2.46677287],0.6920970942680323,0.425,0.6945198178291321,[1.90302183e-03 7.88353740e+00],0.6909415648318336,0.515,0.69129220277071,[0.02313497 0.742511  ],0.6919148306799394,0.55,0.6914499220252037,[0.35078527 0.43405274],0.6670093540886163,0.62,0.6676700831949711,[0.49750051 0.56249996],0.6892242438924393,0.54,0.6954839998483657,"[array([-0.2692655]), array([[-0.66268598,  0.29670004, -0.31834011]])]",0.662517635859549,0.5778894472361809,0.6746686238050461
20,4,[0.  0.1],0.6931469805599655,0.5,0.6931471824645996,[1.        0.5361581],0.6846386076412455,0.575,0.6834729146957398,[0.  0.1],0.6931469805599655,0.5,0.6931471824645996,[0.37198065 0.97402606],0.4003864356755908,0.785,0.425893320273608,[0.545      0.44499999],0.6880881077784581,0.54,0.690196231007576,"[array([-1.90684698]), array([[ 2.61701575, -0.0781608 ,  0.27462271]])]",0.400076661799103,0.7839195979899497,0.4213051474094391
21,4,[0.  0.1],0.6931469805599655,0.475,0.6931471824645996,[0.  0.1],0.6931469805599655,0.475,0.6931471824645996,[0.  0.1],0.6931469805599655,0.475,0.6931471824645996,[0.38554208 0.97135425],0.409124625361589,0.81,0.393450465798378,[0.57750021 0.42499973],0.6814701604788397,0.435,0.7250250938534737,"[array([-1.8793202]), array([[2.69799395, 0.07169153, 0.07111216]])]",0.4088275631377474,0.8140703517587939,0.3882412076741457
22,4,[0.  0.1],0.6931469805599655,0.49,0.6931471824645996,[1.         0.52220771],0.6848581762281344,0.57,0.6819251364469529,[0.  0.1],0.6931469805599655,0.49,0.6931471824645996,[0.38554202 0.96875004],0.41347238153769245,0.825,0.37165714874863626,[0.53250002 0.46249923],0.69068241419002,0.6,0.6814919975399971,"[array([-1.88710444]), array([[2.62706936, 0.20086336, 0.08137892]])]",0.4124361122585833,0.8241206030150754,0.3703013847209513
23,4,[0.83858378 0.54417247],0.6794187823328746,0.58,0.6885786199569702,[1.         0.63125845],0.6814987909527034,0.53,0.6954768320918083,[0.  0.1],0.6931469805599655,0.535,0.6931471824645996,[0.38780482 0.96915176],0.41003751998003407,0.815,0.38560232358053326,[0.52500029 0.44749922],0.6897603828060888,0.585,0.6852700021862984,"[array([-1.85828067]), array([[2.52637464, 0.08081818, 0.30368619]])]",0.4087298876559362,0.8190954773869347,0.3873182367160916
24,4,[0.87920536 0.43260348],0.6837988674098676,0.585,0.6719801804423332,[0.  0.1],0.6931469805599655,0.48,0.6931471824645996,[0.  0.1],0.6931469805599655,0.48,0.6931471824645996,[0.34729061 0.97201027],0.3913105981566686,0.725,0.4640244075655937,[0.53999938 0.4600012 ],0.6899435584602779,0.58,0.6835302364826202,"[array([-1.96370043]), array([[2.46492034, 0.00740461, 0.26184821]])]",0.39068431145045907,0.7236180904522613,0.46213162168860433
25,5,[0.  0.1],0.6931469805599655,0.535,0.6931471824645996,[0.  0.1],0.6931469805599655,0.535,0.6931471824645996,[0.16504291 0.93057315],0.6775835100192407,0.645,0.6643534010648727,[0.20441982 0.11212807],0.42174537070095797,0.88,0.36184774912893775,[0.52000012 0.49499997],0.6927218734083047,0.435,0.6957731980085373,"[array([0.36648706]), array([[-3.27259575, -0.08701414, -0.05648788]])]",0.4210815439373255,0.8844221105527639,0.35950702738016843
26,5,[0.  0.1],0.6931469805599655,0.555,0.6931471824645996,[0.  0.1],0.6931469805599655,0.555,0.6931471824645996,[0.  0.1],0.6931469805599655,0.555,0.6931471824645996,[0.18820218 0.10158005],0.39800038373416974,0.83,0.45396525621414185,[0.50250029 0.5025002 ],0.6931344805080057,0.555,0.6926096308231354,"[array([0.35700053]), array([[-3.37482058, -0.07063247, -0.22257981]])]",0.39722372103482484,0.8291457286432161,0.4512264828383923
27,5,[0.  0.1],0.6931469805599655,0.55,0.6931471824645996,[0.  0.1],0.6931469805599655,0.55,0.6931471824645996,[0.1359138  1.07962638],0.6735770026300125,0.565,0.6822258464992046,[0.17714279 0.10913132],0.3986536303043718,0.82,0.45356525108218193,[0.49249685 0.51499774],0.6928656947032478,0.47,0.6940290367603302,"[array([0.34913399]), array([[-3.50480434, -0.25881651, -0.02254897]])]",0.39721712918952107,0.8241206030150754,0.4497913168743253
28,5,[0.  0.1],0.6931469805599655,0.46,0.6931471824645996,[0.  0.1],0.6931469805599655,0.46,0.6931471824645996,[0.17866823 1.03649258],0.6704245311485224,0.525,0.6981546531617642,[0.19705878 0.10675374],0.4066808848967532,0.85,0.4188443547859788,[0.51499999 0.53750001],0.6915143754631561,0.46,0.7003424644470215,"[array([0.40257557]), array([[-3.38919905, -0.17881158, -0.03375076]])]",0.40568273888900874,0.8492462311557789,0.4153790240362287
29,5,[0.  0.1],0.6931469805599655,0.465,0.6931471824645996,[0.  0.1],0.6931469805599655,0.465,0.6931471824645996,[0.86785088 0.43378148],0.6745733511706697,0.545,0.6910084313154221,[0.21098261 0.1103752 ],0.4203725152113949,0.885,0.35852817218750715,[0.52000024 0.53000009],0.6918463330459346,0.465,0.6980527040362358,"[array([0.44009913]), array([[-3.30006781, -0.21840893,  0.004887  ]])]",0.4190973037481308,0.8894472361809045,0.3582085321098566
30,6,[0.  0.1],0.6931469805599655,0.49,0.6931471824645996,[0.  0.1],0.6931469805599655,0.49,0.6931471824645996,[0.  0.1],0.6931469805599655,0.49,0.6931471824645996,[0.62679426 0.5616798 ],0.6725289461182351,0.625,0.6604442963004112,[0.47750024 0.50499997],0.6926155591454201,0.53,0.6916777145862579,"[array([0.08933519]), array([[ 0.83834142,  0.14173063, -0.13877253]])]",0.6708626275509596,0.6231155778894473,0.6543191954493522
31,6,[0.  0.1],0.6931469805599655,0.51,0.6931471824645996,[0.  0.1],0.6931469805599655,0.51,0.6931471824645996,[0.  0.1],0.6931469805599655,0.51,0.6931471824645996,[0.64182692 0.57441256],0.66661590249711,0.56,0.6864999303221703,[0.46999997 0.50249997],0.6922401897548223,0.52,0.6933043453097344,"[array([0.03639653]), array([[ 0.92783234,  0.34929384, -0.10382797]])]",0.6630633556842804,0.5628140703517588,0.6862920373678207
32,6,[0.  0.1],0.6931469805599655,0.495,0.6931471824645996,[0.  0.1],0.6931469805599655,0.495,0.6931471824645996,[0.  0.1],0.6931469805599655,0.495,0.6931471824645996,[0.62891933 0.5468782 ],0.6735957283659669,0.64,0.6601100304722786,[0.46499941 0.51500076],0.691695944416085,0.485,0.695901726782322,"[array([0.09512894]), array([[ 0.74397007,  0.2436326 , -0.0688032 ]])]",0.6714291578531265,0.6381909547738693,0.6544721068441868
33,6,[0.  0.1],0.6931469805599655,0.54,0.6931471824645996,[2.4112133e-04 1.0000000e+01],0.6931039645572276,0.5,0.6938502183556556,[1.35916705e-03 4.00000000e+00],0.6928329741656429,0.51,0.6931343817710877,[0.61985459 0.56735728],0.6737779686963887,0.62,0.6594504217803479,[0.45749997 0.49999999],0.6913385492236592,0.46,0.6983682090044021,"[array([0.02093041]), array([[ 0.89731353,  0.28022302, -0.24577966]])]",0.6701377069577574,0.6180904522613065,0.6605788855254651
34,6,[0.  0.1],0.6931469805599655,0.42,0.6931471824645996,[0.  0.1],0.6931469805599655,0.42,0.6931471824645996,[0.  0.1],0.6931469805599655,0.42,0.6931471824645996,[0.65384616 0.56396866],0.6641988455007709,0.56,0.6975109432637692,[0.5        0.51750001],0.6928406680032657,0.55,0.694504025876522,"[array([0.10033943]), array([[0.83355682, 0.28714003, 0.05755308]])]",0.6617308968678117,0.5577889447236181,0.6950286123156547
35,7,[0.00915434 2.91728251],0.6885925994674225,0.45,0.6991822415590286,[0.  0.1],0.6931469805599655,0.46,0.6931471824645996,[0.98175811 1.55074194],0.466246709775189,0.825,0.4579724360257387,[0.67847484 0.05324082],0.40126027105504847,0.825,0.3534365051612258,[0.50499962 0.48250078],0.6928156675873359,0.48,0.6933782744407654,"[array([1.71153074]), array([[-1.79288456,  0.14131447, -0.36601539]])]",0.3998758708499372,0.8291457286432161,0.35462994188070296
36,7,[0.  0.1],0.6931469805599655,0.44,0.6931471824645996,[0.  0.1],0.6931469805599655,0.44,0.6931471824645996,[0.94250348 1.60096227],0.46008854250601483,0.805,0.4904453318566084,[0.66096873 0.04241061],0.38013524375984065,0.805,0.44081032238900664,[0.50250002 0.49500001],0.6931157301172405,0.51,0.6927283838391304,"[array([1.74907569]), array([[-2.05085939,  0.2249178 , -0.3880109 ]])]",0.3790402447059751,0.8090452261306532,0.43690403129905464
